N	2gram	Vinokur_Ku_3	NovoeSre
1	а не	11	17
2	не может	6	16
3	и в	23	16
4	и не	10	11
5	и есть	5	10
6	что в	13	9
7	он не	3	8
8	в том	22	8
9	как и	5	7
10	в этом	16	7
11	может быть	14	7
12	не знает	2	6
13	не в	5	6
14	лишь в	8	6
15	но это	5	6
16	ни в	3	6
17	все это	2	5
18	xix века	3	5
19	и к	3	5
20	в ней	3	5
21	не только	17	5
22	не менее	12	4
23	то что	4	4
24	это не	3	4
25	не было	4	4
26	не имеет	3	4
27	должно быть	7	4
28	потому что	12	4
29	по своему	2	4
30	прежде всего	9	4
31	о том	6	4
32	но и	3	3
33	не есть	3	3
34	должна быть	3	3
35	в своей	4	3
36	с другой	7	3
37	вопрос о	11	3
38	не означает	2	3
39	перейти к	2	3
40	и пр	3	3
41	к тому	3	3
42	что такое	4	3
43	в ее	4	3
44	с тем	6	3
45	смысле слова	2	3
46	конечно не	2	3
47	как в	4	3
48	она не	3	3
49	еще не	9	3
50	тому как	2	3
51	в россии	2	3
52	за пределы	2	3
53	сказать что	7	3
54	не значит	5	3
55	что все	2	2
56	я не	5	2
57	на протяжении	2	2
58	вместе с	2	2
59	все они	2	2
60	так и	6	2
61	что она	5	2
62	для этого	6	2
63	мысли и	2	2
64	другой стороны	3	2
65	формы и	3	2
66	мы говорим	4	2
67	а в	5	2
68	с одной	4	2
69	все эти	7	2
70	быть в	2	2
71	уже не	8	2
72	такой же	2	2
73	того чтобы	11	2
74	одной стороны	4	2
75	хотя бы	9	2
76	но не	3	2
77	так же	2	2
78	будет уже	3	2
79	по существу	3	2
80	это и	3	2
81	мы не	3	2
82	том что	11	2
83	можно было	11	2
84	в русском	2	2
85	и с	3	2
86	и что	7	2
87	могут быть	6	2
88	равно как	2	2
89	в то	3	2
90	когда мы	3	2
91	том чтобы	4	2
92	как это	7	2
93	и должно	5	2
94	но для	3	2
95	хотя и	5	2
96	но в	2	2
