N	3gram	Vinokur_St_1	Problema
1	и т д	21	13
2	тем не менее	2	10
3	в том что	17	9
4	в данном случае	6	7
5	и то что	2	7
6	и в этом	3	6
7	во всяком случае	6	6
8	по крайней мере	2	5
9	в этом случае	2	5
10	с другой стороны	6	5
11	не может быть	5	5
12	в то время	2	4
13	т д и	2	4
14	в то же	4	4
15	что же касается	3	4
16	в том смысле	2	3
17	то что у	2	3
18	не имеет ничего	2	3
19	дело в том	4	3
20	можно было бы	8	3
21	о том что	11	3
22	того или иного	4	3
23	в первую очередь	2	3
24	на этот раз	2	3
25	может быть и	2	3
26	заключается в том	3	3
27	имеет ничего общего	2	3
28	что и в	4	3
29	не значит что	3	2
30	то или иное	3	2
31	с точки зрения	8	2
32	не только в	4	2
33	вовсе не в	2	2
34	но с другой	2	2
35	и только в	3	2
36	но также и	4	2
37	дело не в	2	2
38	до сих пор	7	2
39	ничего общего с	3	2
40	на самом деле	6	2
41	но и в	2	2
