N	3gram	Vygotskiy__1	KulturaY
1	и т п	15	24
2	и т д	8	14
3	в том что	9	10
4	в русском языке	2	9
5	с точки зрения	2	8
6	для того чтобы	5	8
7	с другой стороны	5	7
8	в самом деле	7	7
9	во всяком случае	6	5
10	само по себе	5	5
11	в этом смысле	2	5
12	тем не менее	2	5
13	в зависимости от	5	4
14	не может быть	8	4
15	в этом отношении	2	3
16	точно так же	3	3
17	в конце концов	3	3
18	на то что	8	2
19	в отличие от	3	2
20	несмотря на то	2	2
21	по себе не	2	2
22	то или иное	2	2
23	так же как	4	2
24	и в самом	2	2
25	с этой точки	4	2
26	этой точки зрения	5	2
27	в конечном счете	3	2
28	вместе с тем	2	2
29	в том случае	2	2
30	на самом деле	2	2
31	только в том	3	2
32	потому что он	2	2
