N	3gram	Vinokur_Ku_3	Marksizm
1	с точки зрения	16	13
2	не может быть	3	10
3	по отношению к	2	8
4	в связи с	4	7
5	в том что	8	6
6	для того чтобы	11	6
7	в самом деле	11	5
8	и того же	2	4
9	смысле этого слова	2	4
10	той или иной	5	4
11	одного и того	2	4
12	в русском языке	2	4
13	на самом деле	3	4
14	в той или	2	3
15	в таком случае	2	3
16	с одной стороны	4	3
17	о том что	3	3
18	в отличие от	2	3
19	как мы видели	2	3
20	до сих пор	8	3
21	ни в какой	2	2
22	более или менее	2	2
23	того или иного	3	2
24	и тем же	2	2
25	в зависимости от	7	2
26	к тому же	2	2
27	одним и тем	2	2
28	в двух направлениях	2	2
