N	2gram	Voloshinov_1	Literetu
1	и в	16	19
2	может быть	17	17
3	то же	2	12
4	и не	4	11
5	и т.п	2	10
6	в том	3	10
7	как и	2	10
8	но и	4	10
9	не может	8	9
10	в этом	9	9
11	не только	7	8
12	и даже	4	8
13	том что	3	7
14	то что	3	7
15	так и	4	7
16	не менее	2	6
17	при этом	6	6
18	и на	4	6
19	для всех	4	5
20	конечном счете	2	5
21	он не	2	5
22	в конечном	3	5
23	вместе с	3	5
24	что в	3	4
25	в частности	2	4
26	прежде всего	9	4
27	отнюдь не	4	4
28	того же	2	4
29	для него	6	4
30	в его	4	4
31	один из	2	4
32	жизни и	3	4
33	и других	2	4
34	мы не	2	4
35	точки зрения	8	4
36	едва ли	3	4
37	в области	3	4
38	я и	6	4
39	никогда не	2	3
40	быть может	2	3
41	что он	2	3
42	в нем	4	3
43	и как	3	3
44	но это	2	3
45	в начале	2	3
46	в этой	4	3
47	во всех	3	3
48	и др	3	3
49	и для	2	3
50	так как	4	3
51	с точки	6	3
52	а в	3	3
53	и его	8	3
54	и с	8	3
55	на этом	3	2
56	ни было	2	2
57	же как	2	2
58	у него	2	2
59	себя и	2	2
60	для этого	2	2
61	в них	2	2
62	с этой	2	2
63	по крайней	3	2
64	в одном	3	2
65	в жизни	2	2
66	на два	2	2
67	и к	6	2
68	крайней мере	3	2
69	для нас	2	2
70	художественного творчества	4	2
71	все что	4	2
72	еще не	5	2
73	было бы	2	2
74	при всей	2	2
75	как бы	5	2
76	в свое	2	2
77	что и	2	2
78	с ее	4	2
79	могут быть	3	2
80	мысли и	4	2
81	и только	9	2
82	а потому	4	2
83	путь к	2	2
84	что не	2	2
85	и наконец	4	2
86	хотя бы	4	2
87	не знает	2	2
88	в основе	3	2
89	но как	2	2
90	ту же	2	2
91	о том	2	2
92	из тех	2	2
93	как это	3	2
94	с ним	2	2
95	в него	5	2
96	но в	4	2
