N	2gram	Berdyaev_M_2	StatiiOP
1	и в	46	29
2	том что	4	27
3	в том	3	27
4	в этом	20	21
5	но и	15	19
6	что в	4	19
7	не только	18	19
8	в трагедии	3	17
9	о том	3	17
10	что он	7	13
11	в его	5	13
12	то что	5	11
13	в которой	2	11
14	к тому	5	10
15	т е	4	10
16	в своем	8	9
17	так и	4	9
18	и не	18	9
19	потому что	12	9
20	он не	10	9
21	но в	10	8
22	в самом	5	7
23	в ней	11	7
24	я не	5	7
25	в своей	5	7
26	вместе с	2	7
27	тому что	4	7
28	того как	3	7
29	для того	5	7
30	вопрос о	6	6
31	до сих	3	6
32	и что	2	6
33	того чтобы	4	6
34	и его	5	6
35	и на	3	6
36	прежде всего	12	5
37	как бы	8	5
38	сих пор	3	5
39	а не	13	5
40	того что	6	5
41	между тем	2	5
42	точки зрения	2	5
43	в русской	6	5
44	что у	4	4
45	но с	2	4
46	не в	9	4
47	после того	2	4
48	для него	18	4
49	и к	7	4
50	хотя и	2	4
51	в нем	22	4
52	еще более	2	4
53	был для	2	4
54	ничего не	2	4
55	связи с	2	4
56	и с	3	4
57	не был	2	3
58	же как	3	3
59	что это	6	3
60	в этих	2	3
61	но он	11	3
62	оно не	2	3
63	в образе	3	3
64	по себе	2	3
65	ни в	3	3
66	не мог	3	3
67	у нас	11	3
68	так что	2	3
69	но это	8	3
70	как у	2	3
71	до конца	4	3
72	никогда не	18	3
73	русской истории	3	3
74	как в	7	3
75	не было	11	3
76	тем что	3	3
77	и он	11	3
78	ни одного	2	3
79	хотя бы	7	3
80	так же	6	3
81	его не	2	3
82	и здесь	6	3
83	отношении к	3	3
84	в россии	3	3
85	не до	2	2
86	в отношении	5	2
87	есть еще	2	2
88	с его	4	2
89	если бы	3	2
90	в них	3	2
91	в конце	5	2
92	в духе	5	2
93	что было	3	2
94	что и	4	2
95	к своему	2	2
96	он был	9	2
97	нас не	2	2
98	как и	13	2
99	в этой	7	2
100	что они	3	2
101	на его	2	2
102	такого рода	2	2
103	может быть	21	2
104	и потому	7	2
105	еще в	2	2
106	на почве	3	2
107	только в	3	2
108	ее в	2	2
109	не к	2	2
110	также и	4	2
111	не может	15	2
112	что за	2	2
113	то же	5	2
114	у всех	2	2
115	из этой	2	2
116	они не	4	2
117	не имеет	4	2
118	и те	2	2
119	сказать что	3	2
120	в себе	10	2
121	было для	2	2
122	от его	2	2
123	его в	3	2
124	как он	3	2
125	и это	5	2
126	и всегда	3	2
127	так как	8	2
128	только с	3	2
