N	2gram	Propp_Isto_4	Tvorches
1	и в	26	20
2	не только	15	13
3	и т	27	13
4	никогда не	2	11
5	т д	24	11
6	как бы	3	11
7	в его	5	10
8	таким образом	10	10
9	и его	10	9
10	и не	9	9
11	в том	3	8
12	при этом	3	8
13	но и	12	8
14	может быть	14	8
15	в этом	7	8
16	и с	5	8
17	это не	5	7
18	наряду с	3	7
19	что в	14	7
20	не может	6	7
21	то же	8	7
22	потому что	6	7
23	у него	5	6
24	что он	10	6
25	как и	7	6
26	в целом	2	6
27	в своей	4	6
28	так и	10	6
29	все это	2	6
30	а не	6	6
31	но это	3	5
32	еще не	6	5
33	но не	5	5
34	например в	3	5
35	все же	9	5
36	и даже	4	5
37	так же	18	5
38	и на	2	5
39	в этой	2	5
40	о том	4	5
41	об этом	7	4
42	что у	3	4
43	в лице	2	4
44	показывает что	10	4
45	том что	3	4
46	в дальнейшем	6	4
47	мы видим	6	4
48	что они	6	4
49	на его	3	4
50	хотя и	2	4
51	что она	3	4
52	когда он	6	4
53	как в	7	4
54	все эти	3	4
55	героя в	7	4
56	не в	5	4
57	а в	8	4
58	ничего не	5	4
59	если бы	2	4
60	но в	5	4
61	же как	13	3
62	превращается в	7	3
63	с этой	2	3
64	в одной	3	3
65	в образе	3	3
66	к этому	5	3
67	а затем	3	3
68	одна из	2	3
69	так например	2	3
70	у нее	2	3
71	он не	7	3
72	и др	5	3
73	в нем	2	3
74	то что	16	3
75	вместе с	6	3
76	сих пор	5	3
77	тогда как	4	3
78	так как	9	3
79	в свете	3	3
80	уже не	5	3
81	этот вопрос	2	3
82	тем что	5	3
83	в которых	4	3
84	в себе	2	3
85	его в	9	3
86	до сих	5	3
87	он же	2	2
88	уже в	2	2
89	они имеют	2	2
90	не менее	2	2
91	и есть	2	2
92	это уже	2	2
93	его и	2	2
94	с другой	4	2
95	в одном	5	2
96	вовсе не	4	2
97	в этот	4	2
98	что на	2	2
99	чтобы вызвать	3	2
100	у нас	2	2
101	так что	2	2
102	что я	2	2
103	которой он	2	2
104	и если	3	2
105	в частности	2	2
106	в руки	3	2
107	себя в	2	2
108	в свой	2	2
109	в истории	2	2
110	на него	3	2
111	так в	4	2
112	и других	3	2
113	но эта	4	2
114	всякого рода	3	2
115	и что	5	2
116	связь с	12	2
117	и у	5	2
118	на этот	2	2
119	другой стороны	4	2
120	и он	3	2
121	и по	5	2
122	с ними	5	2
123	тут же	2	2
124	не случайно	2	2
125	что этот	4	2
126	из них	2	2
127	в виде	2	2
128	могут быть	6	2
129	известно что	2	2
130	он всегда	3	2
131	и только	5	2
132	только в	3	2
133	этот факт	2	2
134	в русской	3	2
135	при помощи	10	2
136	их в	7	2
137	только с	2	2
138	начинается с	2	2
