N	2gram	Vinokur_Vv_1	Tvorches
1	и в	27	21
2	как бы	5	17
3	в то	5	15
4	в его	10	13
5	то же	8	13
6	времени в	3	13
7	что в	11	12
8	как и	5	12
9	же время	5	12
10	том что	26	11
11	все это	6	10
12	то что	17	8
13	в том	31	7
14	при этом	3	7
15	не только	21	7
16	и не	13	7
17	и на	3	7
18	но в	10	7
19	он сам	3	6
20	что он	4	6
21	не менее	8	6
22	в котором	4	6
23	а в	5	6
24	и его	5	6
25	в этом	34	6
26	о том	15	6
27	вовсе не	6	5
28	а не	3	5
29	может быть	24	5
30	в этой	3	5
31	все же	8	5
32	таким образом	19	5
33	хотя бы	5	5
34	в своих	2	5
35	потому что	14	5
36	как будто	3	5
37	только в	13	5
38	в своем	3	4
39	прежде всего	8	4
40	и как	9	4
41	времени и	4	4
42	в целом	5	4
43	одной из	3	4
44	одним из	5	4
45	один из	6	4
46	своего рода	3	4
47	в своей	4	4
48	мысли и	2	4
49	не может	13	4
50	это не	8	4
51	не существует	2	3
52	уже в	5	3
53	никогда не	3	3
54	с другой	8	3
55	в каждом	4	3
56	это в	2	3
57	сливается с	3	3
58	говорит о	3	3
59	в соответствии	2	3
60	в дальнейшем	2	3
61	соответствии с	2	3
62	но не	7	3
63	романов достоевского	2	3
64	в самом	12	3
65	той же	4	3
66	но если	3	3
67	этой книги	2	3
68	в нем	13	3
69	и т	43	3
70	жизни и	2	3
71	время в	2	3
72	но и	5	3
73	дело не	3	3
74	в их	11	3
75	уже не	5	3
76	и других	3	3
77	того что	12	3
78	и даже	5	3
79	вот почему	3	3
80	так же	3	3
81	и с	2	3
82	хотя и	3	3
83	в виде	4	3
84	на протяжении	2	3
85	дело в	3	3
86	представляет собой	12	3
87	так как	13	3
88	в принципе	2	2
89	а как	3	2
90	зависит от	3	2
91	все более	3	2
92	в частности	3	2
93	однако в	3	2
94	в этих	3	2
95	на том	3	2
96	в качестве	7	2
97	не столько	2	2
98	по крайней	4	2
99	точно так	2	2
100	к этому	3	2
101	есть не	3	2
102	можно сказать	3	2
103	что и	3	2
104	в в	3	2
105	крайней мере	4	2
106	надо было	2	2
107	об этом	5	2
108	так что	5	2
109	не в	8	2
110	отношений между	3	2
111	одна из	2	2
112	того же	3	2
113	не нужно	2	2
114	от других	2	2
115	до конца	3	2
116	из них	3	2
117	действительности в	2	2
118	к тому	4	2
119	только на	3	2
120	в ней	3	2
121	гораздо более	3	2
122	здесь нет	4	2
123	и тем	5	2
124	тем не	8	2
125	во второй	3	2
126	вместе с	6	2
127	собой в	2	2
128	данном случае	5	2
129	вряд ли	2	2
130	и далее	2	2
131	в отличие	3	2
132	и того	2	2
133	именно в	8	2
134	что она	3	2
135	не мог	2	2
136	самом деле	6	2
137	что не	5	2
138	только что	4	2
139	отличие от	3	2
140	сказать что	5	2
141	в первом	5	2
142	могут быть	4	2
143	в данном	11	2
144	в себе	4	2
145	т п	5	2
146	о котором	8	2
147	при помощи	2	2
148	в чем	4	2
149	в виду	4	2
