N	2gram	Vygotskiy__2	VelikijI
1	и не	7	20
2	и в	15	16
3	то что	20	9
4	так как	4	9
5	в истории	6	8
6	что они	3	7
7	а не	3	7
8	человека и	3	6
9	как бы	7	5
10	но и	10	5
11	все это	4	5
12	того что	17	5
13	по пути	2	5
14	и есть	2	4
15	что все	4	4
16	что он	12	4
17	как и	6	4
18	все что	5	4
19	что мы	9	4
20	в котором	2	4
21	так и	8	4
22	потому что	7	4
23	в этом	19	4
24	говорить о	2	4
25	и все	3	4
26	к личности	2	4
27	в его	2	4
28	с его	4	3
29	что в	14	3
30	по этому	6	3
31	в этих	2	3
32	в них	4	3
33	ни в	2	3
34	в том	33	3
35	не в	8	3
36	тот же	7	3
37	и мы	2	3
38	к тому	7	3
39	во всех	2	3
40	никогда не	8	3
41	что и	2	3
42	в своей	4	3
43	бы и	3	3
44	лишь в	3	3
45	и что	8	3
46	за то	2	3
47	к чему	2	3
48	не имеет	4	3
49	хотя бы	4	3
50	и для	2	3
51	должно быть	2	3
52	их в	4	3
53	от этого	2	3
54	в первый	2	3
55	все эти	3	3
56	но в	6	3
57	и теперь	2	2
58	не могут	2	2
59	это не	5	2
60	прежде всего	4	2
61	его к	2	2
62	под этим	2	2
63	для нас	4	2
64	том что	27	2
65	но не	3	2
66	для него	3	2
67	когда в	2	2
68	и сам	3	2
69	того чтобы	12	2
70	не только	15	2
71	нет и	2	2
72	но мы	3	2
73	на том	2	2
74	людей что	2	2
75	ее в	2	2
76	и тогда	2	2
77	а с	4	2
78	все равно	2	2
79	это все	2	2
80	тем что	2	2
81	в себя	2	2
82	мы не	10	2
83	вот почему	3	2
84	для человека	2	2
85	а в	4	2
86	с ним	3	2
87	можно было	5	2
88	могут быть	2	2
89	только в	4	2
90	и это	3	2
91	во всяком	7	2
92	которые не	2	2
