N	2gram	Vinokur_Ku_3	VerxiiNi
1	и в	23	26
2	таким образом	9	22
3	с тем	6	18
4	вместе с	2	15
5	в этом	16	15
6	точки зрения	23	13
7	как бы	5	12
8	в том	22	11
9	может быть	14	10
10	не только	17	10
11	и с	3	10
12	из этих	5	10
13	связи с	6	9
14	что в	13	9
15	но и	3	9
16	в области	14	9
17	так как	9	9
18	с другой	7	8
19	главным образом	2	8
20	но не	3	8
21	в общем	6	8
22	и не	10	8
23	как на	8	8
24	том что	11	7
25	но все	2	7
26	одной стороны	4	7
27	то что	4	7
28	а с	3	7
29	с одной	4	7
30	потому что	12	7
31	но в	2	7
32	к тому	3	6
33	того же	4	6
34	что и	6	6
35	все же	5	6
36	так и	6	6
37	все это	2	6
38	в отношении	3	6
39	все эти	7	6
40	с точки	16	6
41	во всяком	2	6
42	мы должны	3	6
43	о том	6	6
44	том числе	2	5
45	и к	3	5
46	тому же	3	5
47	тем чтобы	2	5
48	отношение к	3	5
49	до сих	8	5
50	в его	11	5
51	сих пор	8	5
52	или менее	2	5
53	так же	2	5
54	лишь в	8	5
55	а не	11	5
56	того чтобы	11	5
57	для того	12	5
58	не имеет	3	5
59	в силу	6	5
60	более или	2	5
61	учение о	2	4
62	в этих	2	4
63	что все	2	4
64	что он	6	4
65	в самом	13	4
66	в котором	2	4
67	целый ряд	4	4
68	не может	6	4
69	и только	3	4
70	а в	5	4
71	то же	6	4
72	и что	7	4
73	на этот	2	4
74	с другими	2	4
75	в которых	3	4
76	он не	3	4
77	в то	3	4
78	только в	6	4
79	далеко не	5	4
80	не менее	12	3
81	в рамках	5	3
82	что это	3	3
83	если бы	8	3
84	как о	3	3
85	хотя бы	9	3
86	ясно что	4	3
87	можно сказать	2	3
88	и как	2	3
89	и при	2	3
90	в своем	4	3
91	на западе	2	3
92	в качестве	2	3
93	и если	2	3
94	и о	4	3
95	тем не	9	3
96	отношению к	2	3
97	когда он	2	3
98	в связи	5	3
99	при этом	6	3
100	уже не	8	3
101	путь к	2	3
102	того что	11	3
103	в таком	4	3
104	с этой	3	3
105	в результате	3	3
106	что эти	2	3
107	в одном	2	3
108	уже в	3	2
109	или иное	2	2
110	не могут	5	2
111	он в	2	2
112	именно в	3	2
113	состоит в	2	2
114	пор еще	3	2
115	по тому	2	2
116	только для	2	2
117	не как	2	2
118	и иной	2	2
119	тогда когда	4	2
120	прежде всего	9	2
121	или иной	7	2
122	тех пор	4	2
123	а также	4	2
124	к его	2	2
125	и здесь	2	2
126	по существу	3	2
127	так называемую	2	2
128	мы видели	3	2
129	что именно	3	2
130	по своему	2	2
131	что мы	2	2
132	с целью	2	2
133	тот же	6	2
134	еще не	9	2
135	конечно не	2	2
136	той или	5	2
137	но если	3	2
138	бы например	2	2
139	один из	4	2
140	не с	2	2
141	то или	2	2
142	в процессе	3	2
143	только что	2	2
144	отличается от	2	2
145	для этого	6	2
146	не было	4	2
147	те же	7	2
148	мы имеем	2	2
149	в русском	2	2
150	сказать что	7	2
151	не в	5	2
152	еще на	2	2
153	совершенно иной	2	2
154	которые в	4	2
155	в россии	2	2
156	очень много	2	2
157	относится к	2	2
158	не потому	3	2
159	и действительно	3	2
160	между тем	4	2
161	в виду	8	2
