N	3gram	Voloshinov_1	Vvedenie
1	для того чтобы	7	20
2	о том что	2	12
3	не может быть	2	8
4	то же время	7	6
5	в то же	9	6
6	не только в	3	4
7	что иное как	2	4
8	в этом случае	3	4
9	в этом отношении	2	4
10	не что иное	2	4
11	можно сказать что	2	3
12	как мы видели	3	3
13	но в то	2	3
14	вместе с тем	2	3
15	но все же	2	3
16	смысле этого слова	2	2
17	и той же	2	2
18	в конце концов	3	2
19	той или иной	3	2
20	с точки зрения	5	2
21	то же самое	4	2
22	есть не что	2	2
23	в связи с	2	2
24	как мы уже	2	2
25	одной и той	2	2
