N	2gram	Propp_Isto_3	Mirosoze
1	может быть	11	30
2	не только	14	29
3	и в	22	28
4	не может	4	28
5	но и	12	25
6	а не	6	25
7	он не	5	24
8	в этом	17	20
9	не было	2	18
10	у него	3	17
11	не в	4	16
12	потому что	3	16
13	в ней	2	15
14	и есть	2	14
15	никогда не	3	14
16	в нем	9	13
17	и он	2	12
18	и это	2	12
19	и не	12	11
20	что в	15	10
21	в своем	2	10
22	прежде всего	3	10
23	и все	3	10
24	что он	9	10
25	было бы	3	10
26	и потому	2	10
27	но он	4	9
28	с тем	2	9
29	в его	3	9
30	и его	4	9
31	но не	7	8
32	в котором	2	8
33	того что	5	7
34	но в	10	7
35	нет ничего	2	7
36	к нему	5	7
37	в том	9	6
38	в этой	5	6
39	и на	4	6
40	вместе с	9	6
41	только в	4	6
42	это не	6	5
43	если он	2	5
44	у нас	4	5
45	как и	3	5
46	то что	7	5
47	в этих	11	4
48	всю жизнь	2	4
49	отношение к	4	4
50	а в	6	4
51	в которых	2	4
52	точки зрения	2	4
53	и там	4	4
54	должен был	3	4
55	в них	6	4
56	один из	5	4
57	от него	2	4
58	она не	4	4
59	к ней	4	4
60	что и	9	4
61	уже не	7	4
62	в человека	2	4
63	тем что	4	4
64	о себе	3	3
65	и вот	2	3
66	к тому	3	3
67	для нас	4	3
68	не мог	2	3
69	в него	2	3
70	в свете	5	3
71	не имеет	2	3
72	его не	3	3
73	с этим	8	3
74	его в	3	3
75	так как	7	3
76	и с	4	3
77	на этом	4	3
78	для них	3	3
79	в жизни	2	3
80	с собой	2	3
81	том что	8	3
82	есть и	5	3
83	ничего не	6	3
84	мы увидим	3	3
85	на том	3	3
86	связана с	3	2
87	мы еще	3	2
88	и от	3	2
89	этот случай	8	2
90	вопрос о	2	2
91	живет в	5	2
92	в ином	6	2
93	в свою	4	2
94	одним из	4	2
95	себе и	2	2
96	жизни и	2	2
97	могут быть	5	2
98	по отношению	2	2
99	все эти	4	2
100	и что	2	2
101	есть только	2	2
102	время как	2	2
103	сказать что	3	2
104	он и	3	2
105	о том	3	2
106	если бы	6	2
107	него и	2	2
108	к этому	7	2
109	нет никаких	2	2
110	отношению к	2	2
111	мы видим	8	2
112	в то	2	2
113	все что	3	2
114	то время	2	2
115	связано с	4	2
116	как будто	2	2
117	до сих	5	2
118	никто не	2	2
119	и к	3	2
120	относится к	2	2
121	же можно	2	2
122	в этот	2	2
123	все же	5	2
124	с ней	6	2
125	сих пор	5	2
126	который был	2	2
127	как в	2	2
128	т е	16	2
129	и она	3	2
130	и у	3	2
131	и как	3	2
132	и для	2	2
133	с того	2	2
134	не все	6	2
