N	2gram	Nazirov_Vr_1	RusskieA
1	и в	8	36
2	не только	9	22
3	что в	7	19
4	том что	3	19
5	а н	2	18
6	в том	3	17
7	т е	3	17
8	но и	7	16
9	во время	2	14
10	п в	2	13
11	в этом	8	12
12	в этот	3	10
13	это не	4	10
14	как и	6	10
15	вместе с	2	10
16	об этом	5	9
17	а в	2	9
18	из них	2	8
19	может быть	4	8
20	о том	4	8
21	между тем	5	7
22	и не	5	6
23	для нас	4	6
24	при этом	4	6
25	в них	2	6
26	уже не	2	6
27	таким образом	2	6
28	все это	4	6
29	то что	7	6
30	все же	6	5
31	как бы	4	5
32	и у	3	5
33	там же	2	5
34	в эти	2	4
35	к этому	3	4
36	одна из	2	4
37	после этого	2	4
38	еще не	2	4
39	связи с	3	4
40	его с	2	4
41	и а	2	4
42	в россии	5	4
43	так в	2	4
44	не может	2	4
45	в связи	3	4
46	а с	2	4
47	и что	8	4
48	но это	2	4
49	тем что	3	4
50	не менее	2	3
51	начиная с	2	3
52	о чем	2	3
53	в своем	3	3
54	в свою	2	3
55	в это	2	3
56	несмотря на	4	3
57	к ним	2	3
58	а также	2	3
59	в честь	2	3
60	то же	5	3
61	с точки	2	3
62	так же	4	3
63	их в	2	3
64	точки зрения	2	3
65	далеко не	3	3
66	не было	5	2
67	его и	2	2
68	что у	3	2
69	считал что	3	2
70	в нем	6	2
71	у него	5	2
72	в в	2	2
73	он был	3	2
74	и как	3	2
75	довольно много	2	2
76	отнюдь не	2	2
77	том же	2	2
78	в ней	4	2
79	в его	3	2
80	года в	7	2
81	и с	6	2
82	тогда как	2	2
83	в году	18	2
84	с ним	4	2
85	в своих	4	2
86	но в	6	2
87	же не	2	2
