N	2gram	Bakhtin_sl_1	FransuaR
1	и в	41	45
2	то есть	26	25
3	и не	16	15
4	не только	16	14
5	в этом	12	14
6	но в	8	14
7	в его	13	13
8	во всех	17	13
9	и его	14	13
10	как бы	12	12
11	в своем	3	11
12	в романе	21	11
13	то же	14	11
14	у рабле	3	11
15	в то	14	11
16	прежде всего	8	10
17	в том	3	10
18	в нем	30	10
19	но и	16	10
20	как и	4	10
21	и с	4	10
22	же время	12	9
23	вовсе не	7	8
24	как мы	8	8
25	в ней	4	8
26	и др	14	8
27	таким образом	9	8
28	так же	2	8
29	с его	4	7
30	том что	2	7
31	не в	7	7
32	все это	5	7
33	также и	3	7
34	потому что	2	7
35	и все	4	7
36	на мир	4	7
37	всех этих	4	6
38	в атмосфере	2	6
39	он не	3	6
40	здесь не	2	6
41	так и	11	6
42	для того	2	6
43	связи с	2	6
44	так как	3	6
45	в них	6	6
46	с ним	7	5
47	и к	5	5
48	одной из	3	5
49	мы видим	2	5
50	на этом	2	5
51	например в	2	5
52	одним из	4	5
53	хотя и	2	5
54	с ее	4	5
55	как раз	2	5
56	не может	14	5
57	все эти	9	5
58	форм и	3	5
59	на самом	2	5
60	и у	2	5
61	и на	14	5
62	его в	3	5
63	перед нами	4	4
64	же как	2	4
65	все они	7	4
66	характерно что	2	4
67	и во	3	4
68	и от	4	4
69	мы не	2	4
70	до известной	2	4
71	у него	3	4
72	и здесь	3	4
73	его как	2	4
74	но не	2	4
75	по своему	2	4
76	здесь в	4	4
77	ничего не	4	4
78	кроме того	4	4
79	в самом	5	4
80	в сущности	13	4
81	и о	2	4
82	мы уже	2	4
83	известной степени	4	4
84	а также	2	4
85	в их	4	4
86	а не	15	4
87	и даже	6	4
88	а в	6	4
89	той же	2	4
90	можно было	2	4
91	сказать что	2	4
92	в основе	5	4
93	с этим	3	4
94	точки зрения	16	4
95	только в	6	4
96	о том	3	4
97	зрения на	7	4
98	поэтому и	3	3
99	нисколько не	2	3
100	связанных с	4	3
101	от его	3	3
102	как в	8	3
103	вообще не	3	3
104	это не	6	3
105	из этих	3	3
106	в одном	2	3
107	единство и	3	3
108	словом и	3	3
109	по существу	3	3
110	того же	6	3
111	связанные с	3	3
112	то время	2	3
113	для него	3	3
114	в своей	7	3
115	века в	2	3
116	до сих	2	3
117	не могло	3	3
118	сих пор	2	3
119	связь с	2	3
120	и одновременно	2	3
121	не было	3	3
122	именно в	3	3
123	того что	3	3
124	и для	4	3
125	почти всегда	3	3
126	но он	2	3
127	в другом	2	3
128	в поэзии	3	3
129	там где	4	3
130	оставаясь в	2	2
131	не могут	3	2
132	если мы	2	2
133	и там	3	2
134	на фоне	7	2
135	точку зрения	3	2
136	хотя бы	3	2
137	перестает быть	2	2
138	почти вовсе	5	2
139	переходит в	3	2
140	что все	2	2
141	в духе	2	2
142	на все	2	2
143	к этому	2	2
144	из своих	2	2
145	в условиях	2	2
146	можно сказать	2	2
147	к тому	3	2
148	в отношении	6	2
149	ли он	4	2
150	между словом	2	2
151	в пределах	14	2
152	в качестве	3	2
153	в большинстве	10	2
154	для них	2	2
155	но именно	4	2
156	было бы	3	2
157	друг с	2	2
158	языков и	9	2
159	конечно не	3	2
160	может быть	14	2
161	том же	4	2
162	с другом	2	2
163	дистанции между	4	2
164	даже в	2	2
165	один из	4	2
166	в каждом	4	2
167	слова и	13	2
168	все же	7	2
169	в целом	2	2
170	на том	2	2
171	данном случае	3	2
172	так в	2	2
173	в особенности	8	2
174	одновременно и	2	2
175	при этом	6	2
176	в истории	3	2
177	лишь в	4	2
178	и слово	2	2
179	и наконец	4	2
180	с точки	8	2
181	к нему	5	2
182	рядом с	4	2
183	роль в	2	2
184	языка но	4	2
185	нас в	2	2
186	в данном	3	2
187	конечно и	2	2
188	между тем	2	2
189	в известной	2	2
190	он в	5	2
191	и вообще	2	2
192	ту же	4	2
193	самого автора	2	2
194	большинстве случаев	6	2
195	которая не	3	2
196	в эту	2	2
197	оно было	2	2
198	от этого	2	2
