N	2gram	Berdyaev_N_1	Literetu
1	не только	5	24
2	но и	3	17
3	а не	17	16
4	в том	8	16
5	том что	2	14
6	может быть	7	13
7	и не	11	12
8	в этом	7	12
9	прежде всего	4	11
10	такого рода	2	10
11	то что	4	10
12	не в	6	8
13	и в	16	8
14	как это	2	8
15	не менее	4	7
16	я не	2	7
17	уже не	2	7
18	в себе	2	7
19	в жизни	5	6
20	как и	7	6
21	себя в	2	6
22	xix века	5	6
23	с его	6	5
24	как в	3	5
25	не может	16	5
26	в то	2	5
27	перестает быть	4	4
28	для этого	2	4
29	это не	4	4
30	но не	2	4
31	культуры в	5	4
32	еще не	3	4
33	в своей	3	4
34	так и	2	4
35	и т.п	2	4
36	никогда не	6	4
37	лишь в	6	4
38	духовной жизни	2	4
39	в основе	3	3
40	не было	4	3
41	что в	9	3
42	культуры нового	2	3
43	и есть	10	3
44	с другой	3	3
45	одна из	2	3
46	с их	2	3
47	у него	2	3
48	свободы от	2	3
49	жизни и	8	3
50	а в	2	3
51	и даже	2	3
52	потому что	4	3
53	но в	2	3
54	жизни не	3	2
55	во имя	15	2
56	должна быть	3	2
57	все они	2	2
58	мир и	2	2
59	подобно тому	3	2
60	человека и	3	2
61	в мире	3	2
62	к тому	3	2
63	одной стороны	2	2
64	за пределы	3	2
65	xviii века	2	2
66	должно стать	2	2
67	должен быть	5	2
68	в нем	5	2
69	не есть	3	2
70	не к	2	2
71	с одной	2	2
72	все эти	2	2
73	что такое	3	2
74	хотя бы	2	2
75	роль в	2	2
76	можно было	2	2
77	тому как	3	2
78	нового времени	12	2
79	могут быть	2	2
80	более не	2	2
81	как будто	2	2
82	о том	4	2
83	в россии	3	2
84	и культуры	2	2
85	нашего времени	2	2
