N	2gram	Bakhtin_sl_2	Stilisti
1	и в	39	42
2	как бы	7	27
3	не только	24	27
4	и т.п	2	24
5	прежде всего	8	22
6	хотя бы	3	17
7	но и	21	15
8	то же	4	15
9	и не	22	14
10	может быть	37	12
11	не может	20	12
12	точки зрения	8	11
13	как и	6	11
14	мы уже	2	11
15	и как	3	10
16	как мы	7	10
17	в этом	16	10
18	при этом	7	9
19	в то	4	9
20	то что	2	9
21	для того	2	9
22	мы не	2	9
23	все же	6	8
24	в ней	3	8
25	слово как	7	8
26	таким образом	8	8
27	эти слова	2	8
28	в себе	2	8
29	никогда не	7	7
30	зависимости от	4	7
31	и от	3	7
32	же время	4	7
33	и на	4	7
34	так как	4	7
35	с его	7	7
36	в зависимости	4	7
37	слов и	3	7
38	а не	14	7
39	того чтобы	2	7
40	и его	33	7
41	только в	5	7
42	точку зрения	3	6
43	или иной	5	6
44	не в	9	6
45	в свою	3	6
46	на его	2	6
47	в форме	2	6
48	язык и	7	6
49	говорящего и	2	6
50	в нем	19	6
51	во всех	12	6
52	в процессе	13	6
53	так и	15	6
54	язык в	6	6
55	речи и	3	6
56	жестов и	2	6
57	или как	4	6
58	в области	2	6
59	слова в	13	5
60	уже в	2	5
61	независимо от	2	5
62	в нашем	2	5
63	мы видели	2	5
64	и их	5	5
65	те же	2	5
66	с помощью	4	5
67	а в	4	5
68	и с	9	5
69	и наконец	5	5
70	как это	3	5
71	точек зрения	3	5
72	что язык	2	5
73	в его	7	5
74	вместе с	2	5
75	в той	4	5
76	с точки	3	5
77	той же	3	5
78	слова и	8	5
79	влияние на	2	4
80	но все	5	4
81	свою очередь	2	4
82	той или	5	4
83	точка зрения	2	4
84	один из	5	4
85	все это	16	4
86	языка и	9	4
87	о том	2	4
88	его в	4	4
89	но в	6	4
90	и к	6	4
91	не знаем	2	4
92	мы увидим	2	4
93	себя в	8	4
94	на него	2	4
95	к своему	9	4
96	уже не	5	4
97	в слове	6	4
98	то есть	26	4
99	так сказать	6	4
100	его и	2	3
101	язык не	4	3
102	перед нами	3	3
103	это не	5	3
104	этом случае	6	3
105	человеческой речи	2	3
106	словом и	8	3
107	для нас	5	3
108	слова о	2	3
109	и само	2	3
110	хотя и	2	3
111	языком и	7	3
112	жизни и	6	3
113	что оно	4	3
114	лишь в	3	3
115	и даже	7	3
116	нуждается в	2	3
117	сказать что	3	3
118	и здесь	2	3
119	и все	5	3
120	в одном	2	3
121	том что	5	3
122	еще не	7	3
123	конечно не	5	3
124	как предмет	4	3
125	что и	3	3
126	отношения к	4	3
127	слова как	2	3
128	и слово	2	3
129	слово и	5	3
130	и для	5	3
131	роль в	2	3
132	слов в	2	3
133	связи с	3	3
134	не знает	2	3
135	может стать	2	3
136	бы и	3	2
137	или даже	3	2
138	всех его	3	2
139	человека и	3	2
140	человека в	5	2
141	не всегда	2	2
142	как уже	2	2
143	в том	5	2
144	но это	3	2
145	иметь дело	2	2
146	и нет	2	2
147	для него	7	2
148	до конца	17	2
149	в пределах	13	2
150	значительной степени	6	2
151	в него	7	2
152	но мы	2	2
153	не с	3	2
154	в этих	7	2
155	отношение к	4	2
156	как например	2	2
157	в связи	2	2
158	в отношении	4	2
159	не было	2	2
160	этом отношении	3	2
161	все эти	6	2
162	но эта	2	2
163	его не	4	2
164	также и	2	2
165	даже и	4	2
166	и ни	2	2
167	голоса и	3	2
168	в основе	4	2
169	ни к	2	2
170	слове в	3	2
171	для всех	4	2
172	однако в	2	2
173	смысл его	2	2
174	с этим	2	2
175	связанные с	4	2
176	что он	2	2
177	даже на	3	2
178	материал для	2	2
179	в идеологическом	2	2
180	речи не	2	2
181	и при	2	2
182	но не	6	2
183	нашего сознания	2	2
184	связано с	3	2
185	материалом и	2	2
186	точном смысле	2	2
187	и потому	7	2
188	слова не	4	2
189	зрения на	2	2
190	сих пор	2	2
191	как в	13	2
192	здесь не	4	2
193	в точном	2	2
194	в значительной	6	2
195	к нему	3	2
196	в дальнейшем	2	2
197	с ним	7	2
198	или в	2	2
199	в языке	2	2
200	которые в	2	2
201	как с	2	2
