N	2gram	Tiupa_Narr_1	formyVre
1	и в	11	46
2	в этом	12	22
3	прежде всего	4	14
4	в романе	2	13
5	и его	10	12
6	только в	12	11
7	не только	31	11
8	в том	8	10
9	как бы	6	10
10	точки зрения	5	10
11	то есть	9	10
12	но в	7	10
13	у него	7	9
14	не в	6	9
15	вместе с	2	9
16	но и	27	9
17	и не	23	9
18	и для	2	9
19	в связи	2	8
20	связи с	2	8
21	как и	13	8
22	в его	6	8
23	жизни и	6	8
24	то же	8	8
25	того чтобы	4	8
26	для того	3	8
27	потому что	5	8
28	из них	4	8
29	в одном	4	7
30	может быть	15	7
31	то что	9	7
32	так и	5	7
33	в эпизоде	4	7
34	времени в	2	7
35	и на	5	7
36	так сказать	2	7
37	никогда не	4	6
38	и все	3	6
39	при этом	19	6
40	как мы	2	6
41	еще не	4	6
42	все же	4	6
43	в особенности	2	6
44	человека в	2	6
45	и с	3	6
46	в частности	14	5
47	в своем	3	5
48	в пространстве	3	5
49	в пределах	2	5
50	в то	4	5
51	но не	4	5
52	он не	3	5
53	в нем	4	5
54	что в	3	5
55	отнюдь не	2	4
56	жизни в	2	4
57	из этих	4	4
58	же время	4	4
59	с ним	2	4
60	же в	2	4
61	том что	7	4
62	за ними	3	4
63	его жизни	3	4
64	в мире	4	4
65	как в	4	4
66	человеческой жизни	2	4
67	а не	13	4
68	и он	6	4
69	также и	3	4
70	их в	3	4
71	к себе	4	4
72	в себе	6	4
73	о том	4	4
74	не было	3	3
75	о чем	4	3
76	не является	3	3
77	та же	2	3
78	к тому	6	3
79	ему в	2	3
80	что он	3	3
81	и как	3	3
82	как у	2	3
83	в качестве	14	3
84	для него	4	3
85	имеет место	4	3
86	хотя и	4	3
87	а также	6	3
88	что на	4	3
89	точка зрения	5	3
90	в форме	2	3
91	во времени	9	3
92	уже не	8	3
93	того что	4	3
94	и даже	2	3
95	а в	13	3
96	роль в	2	3
97	на протяжении	7	3
98	же самое	2	3
99	в этих	2	3
100	мира в	4	3
101	столько же	2	2
102	по своему	2	2
103	с другой	2	2
104	это не	3	2
105	по себе	4	2
106	или иной	4	2
107	можно сказать	5	2
108	о его	2	2
109	не мог	6	2
110	именно в	3	2
111	у нас	3	2
112	в этой	6	2
113	а на	2	2
114	все что	2	2
115	между ними	2	2
116	до конца	2	2
117	она не	2	2
118	картины мира	3	2
119	жизни а	3	2
120	в сущности	2	2
121	и о	3	2
122	вплоть до	4	2
123	к ним	2	2
124	если в	2	2
125	жизни но	2	2
126	один из	6	2
127	сих пор	2	2
128	быть и	2	2
129	и т.п	8	2
130	не может	8	2
131	здесь не	2	2
132	и только	2	2
133	если не	2	2
134	этом отношении	3	2
135	и вот	2	2
136	в той	2	2
137	лишь в	3	2
138	тем же	2	2
139	жизни как	2	2
140	особенно в	2	2
141	о смерти	2	2
142	каждый из	2	2
143	друг на	2	2
144	сами по	2	2
145	в данном	11	2
146	то в	4	2
147	и от	2	2
148	мы имеем	3	2
149	в литературе	4	2
150	на друга	2	2
151	не могла	2	2
152	в конце	2	2
153	беседы с	3	2
154	как это	3	2
155	мыслится как	2	2
156	во всяком	2	2
157	до сих	2	2
