N	2gram	Bakhtin_Fr_6	EvropaiE
1	и в	41	37
2	точки зрения	2	23
3	что в	7	21
4	не только	10	18
5	с точки	2	17
6	в то	6	16
7	то же	5	15
8	в своем	5	14
9	же время	5	14
10	но и	13	14
11	и не	3	14
12	но в	8	14
13	в этом	12	12
14	в том	2	11
15	в области	2	11
16	так и	5	10
17	прежде всего	10	9
18	не может	4	9
19	в себе	5	9
20	только в	3	9
21	так же	5	9
22	в ее	5	8
23	одной стороны	4	8
24	было бы	3	8
25	в своей	2	8
26	с одной	4	8
27	между тем	2	8
28	как и	7	7
29	того что	3	7
30	а также	5	7
31	с другой	4	7
32	также и	6	7
33	так как	10	7
34	с этой	3	6
35	вовсе не	7	6
36	том что	7	6
37	стороны и	2	6
38	может быть	2	6
39	как бы	7	6
40	то что	10	6
41	во всех	17	6
42	того чтобы	4	6
43	и даже	4	6
44	и на	9	6
45	то есть	24	6
46	в частности	2	5
47	не в	4	5
48	но не	2	5
49	одной из	3	5
50	но если	2	5
51	как мы	12	5
52	в той	5	5
53	и потому	2	5
54	именно в	4	4
55	в самом	10	4
56	в ней	4	4
57	даже в	4	4
58	для нас	2	4
59	не на	2	4
60	мы не	2	4
61	сказать что	6	4
62	тем более	2	4
63	как это	2	4
64	мира в	2	4
65	с более	2	3
66	этом отношении	3	3
67	никогда не	8	3
68	в них	7	3
69	и от	4	3
70	мы видели	2	3
71	того же	4	3
72	связано с	3	3
73	из них	5	3
74	как в	4	3
75	и для	3	3
76	и прежде	2	3
77	в результате	4	3
78	потому что	3	3
79	тем что	5	3
80	себе в	2	3
81	в данном	3	3
82	о том	9	3
83	там где	5	3
84	большинстве случаев	5	3
85	мира и	2	3
86	отметить что	2	3
87	что все	2	2
88	он сам	3	2
89	не могут	2	2
90	а не	2	2
91	в этих	2	2
92	еще более	2	2
93	во втором	3	2
94	и во	2	2
95	с этим	3	2
96	в большинстве	4	2
97	и все	9	2
98	море и	2	2
99	в одном	5	2
100	к нему	3	2
101	представление о	2	2
102	из того	2	2
103	и как	4	2
104	есть в	3	2
105	что если	2	2
106	между ними	3	2
107	должна быть	2	2
108	что это	5	2
109	кажется что	2	2
110	меньшей степени	4	2
111	он не	2	2
112	в его	7	2
113	в котором	4	2
114	в развитии	2	2
115	и отчасти	2	2
116	жизни и	3	2
117	вместе с	6	2
118	данном случае	2	2
119	а в	4	2
120	таким образом	17	2
121	начиная с	2	2
122	но с	2	2
123	а именно	2	2
124	и сейчас	2	2
125	заключается в	2	2
126	и что	5	2
127	в значительной	2	2
128	и наконец	4	2
129	человеческого рода	3	2
130	другой стороны	2	2
131	с другими	3	2
132	мы видим	6	2
133	или в	6	2
134	и с	16	2
135	хотя и	2	2
136	в этой	8	2
137	ведь и	2	2
138	и то	2	2
139	в истории	2	2
140	бы в	2	2
141	тогда когда	2	2
142	в эту	2	2
