N	2gram	Tiupa_Vved_1	EvropaiE
1	и в	13	37
2	в пределах	2	25
3	что в	3	21
4	не только	20	18
5	в то	4	16
6	то же	5	15
7	в своем	5	14
8	в качестве	8	14
9	же время	3	14
10	но и	19	14
11	и не	12	14
12	но в	6	14
13	в этом	21	12
14	в том	10	11
15	в области	3	11
16	так и	8	10
17	отнюдь не	7	9
18	прежде всего	7	9
19	не может	7	9
20	в себе	5	9
21	только в	6	9
22	к тому	6	8
23	одной стороны	5	8
24	было бы	4	8
25	в своей	5	8
26	с одной	5	8
27	как и	11	7
28	по своему	2	7
29	того что	6	7
30	а также	8	7
31	с другой	5	7
32	также и	4	7
33	том что	7	6
34	может быть	18	6
35	вслед за	2	6
36	как бы	4	6
37	то что	6	6
38	во всех	2	6
39	и на	3	6
40	то есть	8	6
41	в частности	13	5
42	не в	6	5
43	но не	5	5
44	со стороны	5	5
45	как мы	3	5
46	в той	4	5
47	тем самым	5	5
48	и по	3	5
49	или иной	3	4
50	можно сказать	4	4
51	в самом	2	4
52	в ней	4	4
53	той или	3	4
54	по себе	2	4
55	для нас	2	4
56	мы не	4	4
57	в направлении	2	4
58	не имеет	2	4
59	мира в	8	4
60	место в	2	3
61	и к	2	3
62	этом отношении	4	3
63	но на	2	3
64	никогда не	4	3
65	жизни в	4	3
66	в них	2	3
67	и от	2	3
68	по своим	3	3
69	мы видели	2	3
70	ли это	2	3
71	представляет собой	15	3
72	мы можем	2	3
73	в свою	4	3
74	связано с	3	3
75	в данной	2	3
76	не является	3	3
77	и тем	2	3
78	что и	2	3
79	бы и	4	3
80	как в	4	3
81	и для	3	3
82	можно было	2	3
83	к ним	2	3
84	в результате	3	3
85	потому что	5	3
86	тем что	2	3
87	в данном	13	3
88	о том	5	3
89	всего лишь	5	3
90	мира и	2	3
91	и более	3	2
92	для них	3	2
93	а не	15	2
94	в этих	3	2
95	в случае	2	2
96	в какой	4	2
97	во втором	2	2
98	мира не	2	2
99	и все	4	2
100	но также	2	2
101	большей части	3	2
102	что на	2	2
103	и того	2	2
104	в силу	2	2
105	есть в	2	2
106	свою очередь	4	2
107	должна быть	2	2
108	не можем	2	2
109	не к	4	2
110	имеет место	4	2
111	он не	3	2
112	в его	4	2
113	в котором	8	2
114	если в	2	2
115	точка зрения	3	2
116	в мире	8	2
117	жизни и	7	2
118	наряду с	2	2
119	данном случае	6	2
120	иначе говоря	6	2
121	целый ряд	2	2
122	что же	3	2
123	а в	6	2
124	таким образом	4	2
125	если бы	7	2
126	частности в	2	2
127	начиная с	3	2
128	и наконец	2	2
129	другой стороны	2	2
130	войны и	3	2
131	в своих	2	2
132	и с	2	2
133	хотя и	7	2
134	могут быть	4	2
135	по своей	3	2
136	как будто	4	2
137	далеко не	4	2
138	как оно	2	2
139	между собой	2	2
140	бы в	3	2
