N	2gram	Tiupa_Lite_2	RusskieA
1	и в	19	36
2	не только	8	22
3	что в	4	19
4	том что	7	19
5	в том	10	17
6	но и	10	16
7	так как	3	15
8	в этом	9	12
9	как и	10	10
10	и т	2	10
11	вместе с	5	10
12	и на	6	10
13	потому что	2	10
14	а в	3	9
15	с тем	2	8
16	состоит в	9	8
17	у нас	5	8
18	из них	2	8
19	может быть	17	8
20	один из	4	8
21	о том	2	8
22	как это	2	8
23	что и	2	7
24	так и	7	7
25	и других	4	7
26	и не	11	6
27	для нас	2	6
28	при этом	6	6
29	в них	2	6
30	уже не	2	6
31	мы не	4	6
32	то что	7	6
33	этом случае	2	5
34	все же	2	5
35	как бы	2	5
36	одно из	2	5
37	как уже	2	4
38	в первый	2	4
39	по существу	3	4
40	представляет собой	2	4
41	одна из	5	4
42	еще не	2	4
43	вплоть до	3	4
44	еще в	4	4
45	и др	3	4
46	во всех	3	4
47	в их	3	4
48	в россии	2	4
49	так в	5	4
50	не может	9	4
51	и что	2	4
52	того что	5	4
53	но это	3	4
54	тем что	4	4
55	в русском	2	4
56	не менее	6	3
57	к жизни	2	3
58	в качестве	5	3
59	в одном	2	3
60	и к	2	3
61	тем не	2	3
62	на этом	2	3
63	как правило	3	3
64	а также	2	3
65	если в	2	3
66	не с	3	3
67	своего рода	13	3
68	то же	12	3
69	с точки	3	3
70	ничего не	3	3
71	точки зрения	4	3
72	то есть	5	3
73	в области	4	3
74	не было	2	2
75	в частности	4	2
76	могут быть	2	2
77	в нашем	2	2
78	но тем	4	2
79	в каждом	2	2
80	в нем	3	2
81	у него	2	2
82	равной степени	2	2
83	в жизни	2	2
84	так что	4	2
85	и как	3	2
86	такой же	3	2
87	но не	5	2
88	до конца	2	2
89	отнюдь не	4	2
90	в ней	4	2
91	в его	4	2
92	не знали	3	2
93	и с	3	2
94	в целом	2	2
95	и до	2	2
96	в е	2	2
97	е годы	2	2
98	для этого	2	2
99	тогда как	9	2
100	в какой	2	2
101	в году	5	2
102	а не	20	2
103	и для	3	2
104	с ним	2	2
105	в своих	2	2
106	не случайно	4	2
107	себя и	2	2
108	на себя	2	2
109	но в	2	2
110	в равной	3	2
111	как он	2	2
