N	2gram	Bakhtin_Pr_1	Myshleni
1	в том	8	28
2	и в	29	28
3	то что	15	28
4	в этом	22	27
5	потому что	8	22
6	не может	12	19
7	том что	7	19
8	таким образом	12	18
9	что он	8	18
10	только в	10	18
11	что в	8	17
12	не только	15	16
13	так же	6	15
14	может быть	24	13
15	сказать что	3	13
16	точки зрения	19	13
17	тому что	3	11
18	и не	31	11
19	как бы	19	11
20	в отношении	2	10
21	как мы	4	10
22	но и	14	10
23	от того	4	10
24	по отношению	8	10
25	так как	6	10
26	но не	9	10
27	отношению к	8	10
28	с точки	13	10
29	могли бы	2	9
30	было бы	5	9
31	в процессе	4	9
32	никогда не	3	8
33	в самом	10	8
34	еще не	5	8
35	тем что	4	8
36	самого начала	2	7
37	если бы	9	7
38	в нем	19	7
39	в сущности	5	7
40	в своем	8	7
41	что оно	2	7
42	мы видим	2	7
43	отношение к	2	7
44	он не	5	7
45	то же	14	7
46	между ними	2	7
47	можно было	2	7
48	там где	10	7
49	в которой	2	7
50	и к	2	6
51	так что	2	6
52	и как	7	6
53	и что	2	6
54	для него	18	6
55	в то	10	6
56	его в	6	6
57	как и	12	6
58	так и	7	6
59	приводит к	3	6
60	как раз	6	6
61	не могут	6	5
62	это не	9	5
63	вопрос о	2	5
64	в пределах	13	5
65	друг с	2	5
66	в свете	4	5
67	и на	7	5
68	но в	7	5
69	в зависимости	5	5
70	зависимости от	5	5
71	могут быть	6	5
72	в этой	4	5
73	я не	3	4
74	именно в	5	4
75	не в	7	4
76	например в	3	4
77	на этот	2	4
78	совпадает с	2	4
79	с этим	2	4
80	они не	4	4
81	друг друга	3	4
82	в одной	6	4
83	и следовательно	4	4
84	мысли в	2	4
85	в сознании	2	4
86	к другому	2	4
87	оно не	3	4
88	что и	4	4
89	в той	2	4
90	той же	5	4
91	в себе	7	4
92	в другой	3	3
93	в каждом	8	3
94	все время	2	3
95	отличается от	3	3
96	до конца	8	3
97	при этом	2	3
98	на его	2	3
99	между отдельными	2	3
100	в целом	6	3
101	в их	3	3
102	как на	3	3
103	этом отношении	3	3
104	те же	2	3
105	в своих	3	3
106	в основе	4	3
107	и здесь	3	3
108	но как	3	3
109	только то	3	3
110	бы в	3	3
111	в плане	5	3
112	с его	9	3
113	в них	3	3
114	по себе	8	3
115	это и	5	3
116	связи с	2	3
117	до сих	2	3
118	мы должны	3	3
119	один из	2	3
120	в его	24	3
121	сих пор	2	3
122	как в	6	3
123	в себя	3	3
124	а не	22	3
125	и его	14	3
126	этот вопрос	2	3
127	не знает	3	3
128	отношении к	3	3
129	отношения к	3	3
130	на вопрос	2	2
131	он сам	3	2
132	друг другу	2	2
133	точку зрения	6	2
134	с другой	3	2
135	с этой	2	2
136	в конце	6	2
137	именно потому	2	2
138	была бы	3	2
139	прежде всего	7	2
140	но это	4	2
141	является не	2	2
142	самом деле	6	2
143	несмотря на	6	2
144	одним из	6	2
145	и от	2	2
146	себе и	3	2
147	в котором	2	2
148	и др	5	2
149	все это	6	2
150	другой стороны	3	2
151	все эти	9	2
152	и наконец	4	2
153	не из	3	2
154	в которых	2	2
155	но он	2	2
156	с ним	5	2
157	у него	5	2
158	он может	3	2
159	были бы	4	2
160	к более	2	2
161	на котором	3	2
162	раз и	4	2
163	в одном	10	2
164	этом смысле	10	2
165	и вызывает	2	2
166	по существу	3	2
167	более того	5	2
168	чем в	2	2
169	она не	7	2
170	мы уже	2	2
171	входят в	2	2
172	в своей	8	2
173	все же	9	2
174	мысли и	5	2
175	не на	4	2
176	нами в	2	2
177	а в	7	2
178	но с	3	2
179	с другими	7	2
180	в данном	2	2
181	за ним	3	2
