N	2gram	Ircho_Kome_3	EvropaiE
1	и в	22	37
2	в отношении	4	32
3	в пределах	2	25
4	точки зрения	4	23
5	что в	5	21
6	не только	5	18
7	с точки	3	17
8	в то	6	16
9	хотя бы	4	15
10	то же	7	15
11	в своем	8	14
12	в качестве	2	14
13	же время	5	14
14	но и	4	14
15	и не	21	14
16	но в	5	14
17	в этом	8	12
18	в их	2	11
19	в том	12	11
20	в области	2	11
21	так и	4	10
22	отнюдь не	4	9
23	прежде всего	5	9
24	не может	3	9
25	т е	16	9
26	в себе	4	9
27	так же	4	9
28	к тому	6	8
29	в ее	3	8
30	одной стороны	3	8
31	было бы	3	8
32	в своей	5	8
33	с одной	3	8
34	между тем	2	8
35	как и	3	7
36	по своему	3	7
37	а также	2	7
38	с другой	4	7
39	так как	11	7
40	с этой	3	6
41	вовсе не	4	6
42	том что	13	6
43	стороны и	2	6
44	может быть	6	6
45	для того	6	6
46	на то	3	6
47	как бы	3	6
48	то что	4	6
49	во всех	2	6
50	того чтобы	6	6
51	и даже	3	6
52	и на	2	6
53	в частности	3	5
54	столь же	3	5
55	не в	4	5
56	одной из	3	5
57	но если	3	5
58	со стороны	11	5
59	как мы	2	5
60	в течение	3	5
61	ни было	2	4
62	то ни	3	4
63	чем в	3	4
64	бы то	2	4
65	несмотря на	4	4
66	в самом	9	4
67	в ней	4	4
68	к ней	8	4
69	мы не	2	4
70	не имеет	3	4
71	тем более	4	4
72	как это	5	4
73	и к	3	3
74	этом отношении	2	3
75	с тем	4	3
76	никогда не	3	3
77	и со	2	3
78	в них	3	3
79	обстоит дело	2	3
80	на себя	4	3
81	в известной	2	3
82	из всех	2	3
83	представляет собой	3	3
84	мы можем	3	3
85	в свою	7	3
86	того же	6	3
87	не дает	4	3
88	и мы	3	3
89	известной степени	2	3
90	из них	5	3
91	всяком случае	3	3
92	не является	4	3
93	что и	8	3
94	не будет	2	3
95	когда он	4	3
96	как в	2	3
97	идет о	3	3
98	является ли	2	3
99	и для	4	3
100	в таком	2	3
101	можно было	2	3
102	к ним	3	3
103	в которых	5	3
104	в результате	2	3
105	потому что	10	3
106	во всяком	3	3
107	тем что	5	3
108	себе в	3	3
109	на долю	3	3
110	о том	8	3
111	всего лишь	2	3
112	не могут	2	2
113	а не	4	2
114	сравнению с	2	2
115	в какой	3	2
116	по сравнению	2	2
117	и во	2	2
118	с этим	3	2
119	и все	2	2
120	в одном	2	2
121	к нему	5	2
122	представление о	2	2
123	именно потому	2	2
124	для понимания	2	2
125	из того	3	2
126	в силу	2	2
127	свою очередь	6	2
128	между ними	2	2
129	даже при	2	2
130	и если	2	2
131	она не	2	2
132	он не	5	2
133	в его	8	2
134	в котором	2	2
135	в развитии	2	2
136	в мире	2	2
137	наряду с	2	2
138	вместе с	9	2
139	на основании	2	2
140	целый ряд	2	2
141	что к	4	2
142	а в	7	2
143	таким образом	12	2
144	если бы	8	2
145	на них	3	2
146	и что	6	2
147	более чем	5	2
148	на месте	3	2
149	на этот	3	2
150	другой стороны	2	2
151	иначе обстоит	2	2
152	в других	3	2
153	с другими	2	2
154	меньше чем	2	2
155	в своих	2	2
156	и с	4	2
157	хотя и	5	2
158	и еще	3	2
159	в этой	3	2
160	его на	2	2
161	далеко не	3	2
162	между собой	4	2
163	и поэтому	4	2
164	бы в	4	2
