N	3gram	Losev_Prob_2	Marksizm
1	не может быть	3	13
2	в самом деле	2	9
3	бы то ни	2	8
4	до сих пор	4	8
5	в связи с	5	7
6	в настоящее время	16	6
7	с другой стороны	5	5
8	с самого начала	2	4
9	то же самое	5	3
10	связи с этим	2	3
11	может быть и	2	3
12	в то же	4	3
13	и тот же	2	3
14	можно сказать что	3	3
15	в конце концов	7	3
16	и здесь мы	2	3
17	один и тот	2	3
18	в том что	4	3
19	в этом случае	7	3
20	для того чтобы	2	3
21	в том числе	2	2
22	и той же	2	2
23	или хотя бы	2	2
24	том числе и	2	2
25	на первый план	3	2
26	отношение знака к	4	2
27	в таком случае	10	2
28	до тех пор	4	2
29	если мы скажем	3	2
30	можно было бы	2	2
31	тем не менее	12	2
32	это и есть	2	2
33	сама по себе	4	2
34	во всяком случае	10	2
35	и прежде всего	2	2
36	ничего общего с	2	2
37	в этом смысле	5	2
38	одной и той	2	2
39	вопрос о том	2	2
