N	2gram	Propp_Isto_6	Poddanst
1	не только	10	17
2	и в	26	14
3	и не	10	12
4	в этом	12	10
5	то же	5	9
6	в том	12	9
7	в качестве	3	9
8	но в	7	9
9	в то	5	7
10	только в	5	7
11	но и	9	6
12	в ней	5	6
13	было бы	2	6
14	с другой	10	5
15	не в	3	5
16	в которых	2	5
17	может быть	11	5
18	то что	6	4
19	что в	12	4
20	если бы	3	4
21	в своем	2	4
22	не может	6	4
23	а в	3	4
24	том что	10	4
25	мы должны	2	4
26	в русской	6	4
27	а также	4	4
28	как бы	4	4
29	в нем	8	3
30	и т	10	3
31	с тем	4	3
32	это не	4	3
33	с одной	7	3
34	т е	22	3
35	прежде всего	4	3
36	тем самым	2	3
37	сводится к	2	3
38	мы не	6	3
39	и как	2	3
40	с ними	2	3
41	но не	2	3
42	могут быть	3	3
43	в себе	3	3
44	что мы	2	3
45	одной стороны	7	3
46	северной америке	2	3
47	наряду с	3	3
48	потому что	13	3
49	и тем	4	2
50	в частности	3	2
51	не будем	2	2
52	в северной	2	2
53	со стороны	3	2
54	в них	3	2
55	с этим	2	2
56	главным образом	3	2
57	и других	3	2
58	и вот	3	2
59	стороны и	2	2
60	а не	2	2
61	того что	2	2
62	для нас	2	2
63	как на	3	2
64	одна из	2	2
65	в виде	6	2
66	не было	3	2
67	например в	7	2
68	и это	8	2
69	в эту	2	2
70	что из	2	2
71	в его	5	2
72	и с	6	2
