N	2gram	Vygotskiy__1	RusskieA
1	и в	23	36
2	не только	16	22
3	что в	14	19
4	том что	21	19
5	в том	24	17
6	но и	14	16
7	так как	7	15
8	в этом	17	12
9	как мы	5	10
10	как и	14	10
11	вместе с	9	10
12	и на	8	10
13	потому что	6	10
14	об этом	3	9
15	а в	2	9
16	с тем	7	8
17	может быть	14	8
18	один из	2	8
19	о том	6	8
20	как это	2	8
21	что они	3	7
22	так и	5	7
23	и других	3	7
24	между тем	9	7
25	представляют собой	2	7
26	и не	9	6
27	при этом	4	6
28	в них	2	6
29	уже не	2	6
30	таким образом	26	6
31	мы не	7	6
32	все это	6	6
33	не имеет	2	6
34	в виде	2	6
35	то что	17	6
36	полагает что	3	6
37	показывает что	3	5
38	все же	3	5
39	как бы	11	5
40	в течение	2	5
41	в которых	3	5
42	одно из	2	5
43	как в	4	5
44	того как	2	5
45	тому что	5	4
46	из этих	3	4
47	к этому	4	4
48	с собой	2	4
49	как уже	7	4
50	к тому	4	4
51	по существу	4	4
52	представляет собой	11	4
53	связи с	3	4
54	во всех	3	4
55	в их	3	4
56	не может	12	4
57	а с	4	4
58	и что	5	4
59	того что	15	4
60	что этот	2	4
61	тем что	6	4
62	только в	6	4
63	начиная с	2	3
64	о чем	2	3
65	что это	3	3
66	в этих	2	3
67	в качестве	9	3
68	в своем	3	3
69	но все	2	3
70	в одном	4	3
71	представление о	2	3
72	в свою	4	3
73	от них	2	3
74	и к	4	3
75	на этом	2	3
76	несмотря на	2	3
77	не с	2	3
78	приводит к	4	3
79	то же	8	3
80	с точки	18	3
81	на этот	3	3
82	так же	16	3
83	и те	2	3
84	ничего не	3	3
85	их в	4	3
86	точки зрения	26	3
87	этого слова	4	3
88	в области	3	3
89	которые не	3	3
90	всех этих	2	2
91	в изучении	2	2
92	и более	5	2
93	независимо от	6	2
94	в частности	2	2
95	могут быть	3	2
96	в нашем	2	2
97	но тем	2	2
98	между собой	5	2
99	что у	2	2
100	только для	3	2
101	с этим	6	2
102	работа в	2	2
103	и потому	2	2
104	главным образом	2	2
105	на все	3	2
106	что именно	3	2
107	и как	5	2
108	мы видим	4	2
109	в силу	6	2
110	такой же	3	2
111	к вопросу	2	2
112	свою очередь	3	2
113	но не	4	2
114	тем и	3	2
115	как известно	3	2
116	она не	3	2
117	когда он	2	2
118	к слову	6	2
119	связь между	6	2
120	том же	2	2
121	в его	14	2
122	нас к	8	2
123	и с	9	2
124	и другим	2	2
125	в целом	20	2
126	к другу	2	2
127	с ней	2	2
128	значения и	2	2
129	и до	2	2
130	к выводу	4	2
131	что она	4	2
132	в свете	4	2
133	для этого	5	2
134	показывают что	3	2
135	должны были	3	2
136	все эти	4	2
137	в какой	5	2
138	а не	3	2
139	и пр	2	2
140	выводу что	4	2
141	приводит нас	2	2
142	воздействовать на	2	2
143	в своих	5	2
144	этот вопрос	3	2
145	мы можем	6	2
146	хотя и	2	2
147	между двумя	2	2
148	останавливаться на	3	2
149	но в	5	2
150	мы должны	5	2
151	в один	2	2
152	в равной	2	2
153	как он	3	2
154	там где	2	2
155	и поэтому	2	2
