N	2gram	Propp_Isto_6	Analitik
1	не только	10	22
2	тогда как	2	20
3	и в	26	18
4	как и	5	14
5	так и	5	14
6	в этом	12	14
7	но и	9	13
8	и его	7	13
9	в частности	3	12
10	том что	10	12
11	в качестве	3	12
12	и не	10	12
13	при этом	3	11
14	а в	3	10
15	как бы	4	10
16	может быть	11	9
17	со стороны	3	9
18	что в	12	9
19	а не	2	9
20	в том	12	9
21	с его	4	8
22	своего рода	2	8
23	с другой	10	7
24	но не	2	7
25	в его	5	7
26	в русской	6	7
27	отношению к	2	7
28	по отношению	2	7
29	к тому	2	6
30	не в	3	6
31	еще не	9	6
32	в этой	2	6
33	он не	2	6
34	о том	7	6
35	никогда не	13	5
36	однако в	2	5
37	прежде всего	4	5
38	того же	2	5
39	что и	4	5
40	другой стороны	8	5
41	уже не	7	5
42	мы имеем	14	5
43	представляет собой	2	5
44	перед нами	2	4
45	о чем	2	4
46	в своем	2	4
47	в одном	3	4
48	что он	9	4
49	можно сказать	2	4
50	и как	2	4
51	и сам	2	4
52	не есть	2	4
53	все же	8	4
54	таким образом	12	4
55	тем самым	2	4
56	и на	12	4
57	в данном	3	4
58	далеко не	3	4
59	из этих	4	3
60	к этому	3	3
61	не всегда	4	3
62	о смерти	9	3
63	что они	2	3
64	было бы	2	3
65	во сне	3	3
66	не будет	5	3
67	данном случае	3	3
68	как в	6	3
69	так в	6	3
70	то же	5	3
71	не было	3	3
72	что не	2	3
73	его не	2	3
74	мы не	6	3
75	ничего не	2	3
76	здесь и	2	3
77	с этим	2	3
78	что касается	2	3
79	он и	2	3
80	но как	4	3
81	в то	5	3
82	его в	5	3
83	здесь не	2	3
84	как это	5	3
85	могут быть	3	2
86	власть над	7	2
87	все эти	8	2
88	в них	3	2
89	это не	4	2
90	и от	3	2
91	в нем	8	2
92	и ее	3	2
93	в тех	3	2
94	с появлением	6	2
95	одна из	2	2
96	с тем	4	2
97	мира и	2	2
98	одной стороны	7	2
99	например в	7	2
100	на его	4	2
101	в ней	5	2
102	а также	4	2
103	всяком случае	2	2
104	даже в	2	2
105	один из	3	2
106	нам кажется	2	2
107	то что	6	2
108	когда он	3	2
109	вместе с	8	2
110	что она	3	2
111	связь с	11	2
112	в форме	2	2
113	не может	6	2
114	с одной	7	2
115	и вот	3	2
116	сводится к	2	2
117	и он	4	2
118	и по	4	2
119	после чего	6	2
120	сказать что	3	2
121	во всяком	2	2
122	мы можем	7	2
123	тем что	5	2
124	одну из	4	2
125	в себе	3	2
126	что мы	2	2
127	только в	5	2
128	в свое	2	2
129	там где	5	2
130	когда мы	2	2
131	но в	7	2
