N	2gram	Tiupa_Narr_1	VelikijI
1	и не	20	20
2	и в	19	16
3	то что	11	9
4	еще не	7	8
5	что они	3	7
6	и потому	2	7
7	а не	12	7
8	не есть	3	6
9	в мире	9	5
10	хотя и	3	5
11	как бы	4	5
12	но и	23	5
13	на себя	3	5
14	нет у	2	4
15	что он	6	4
16	в нем	4	4
17	как и	7	4
18	что мы	2	4
19	так и	9	4
20	что не	4	4
21	в этом	17	4
22	в ней	3	4
23	говорить о	2	4
24	и все	2	4
25	в его	9	4
26	с его	6	3
27	если не	4	3
28	должна быть	2	3
29	что в	3	3
30	они в	2	3
31	ни в	3	3
32	в том	18	3
33	не в	14	3
34	к тому	7	3
35	никогда не	3	3
36	оно не	2	3
37	жизни и	3	3
38	не было	2	3
39	не имеет	2	3
40	хотя бы	4	3
41	и для	2	3
42	все эти	2	3
43	но в	6	3
44	это не	2	2
45	в прошлом	3	2
46	прежде всего	4	2
47	да и	4	2
48	том что	14	2
49	которым можно	2	2
50	одна из	3	2
51	но не	5	2
52	для него	2	2
53	вслед за	4	2
54	не только	32	2
55	нет и	2	2
56	один из	3	2
57	не с	3	2
58	не будет	3	2
59	на том	3	2
60	в форме	5	2
61	истории и	2	2
62	а с	3	2
63	это все	2	2
64	тем что	3	2
65	в себя	6	2
66	уже не	5	2
67	а в	11	2
68	можно было	2	2
69	между тем	3	2
70	могут быть	3	2
71	только в	4	2
72	мира в	5	2
