N	2gram	Tiupa_Disk_2	Komedia
1	и в	16	22
2	и не	15	21
3	том что	10	13
4	в том	8	12
5	со стороны	10	11
6	ни в	7	10
7	потому что	4	10
8	вместе с	2	9
9	в своем	5	8
10	что он	2	8
11	в его	3	8
12	что и	2	8
13	в этом	16	8
14	о том	4	8
15	его в	3	8
16	о чем	2	7
17	при этом	17	7
18	то же	6	7
19	а в	2	7
20	к этому	4	6
21	того же	2	6
22	еще не	6	6
23	может быть	16	6
24	и его	3	6
25	в то	5	6
26	не менее	7	5
27	что в	5	5
28	же время	5	5
29	прежде всего	7	5
30	не только	10	5
31	в своей	6	5
32	отношение к	2	5
33	из них	3	5
34	все это	2	5
35	по отношению	4	5
36	он не	3	5
37	более чем	2	5
38	но в	11	5
39	отнюдь не	6	4
40	с другой	5	4
41	все же	6	4
42	не в	3	4
43	в ней	2	4
44	то что	5	4
45	но и	11	4
46	а не	14	4
47	и для	2	4
48	тут же	2	4
49	точки зрения	4	4
50	в себе	19	4
51	так и	9	4
52	не является	4	4
53	и с	2	4
54	что ни	2	3
55	с его	6	3
56	в частности	12	3
57	никогда не	2	3
58	в них	3	3
59	одного из	4	3
60	в нем	7	3
61	далеко не	2	3
62	идет о	2	3
63	как и	16	3
64	в этой	4	3
65	одной стороны	4	3
66	как бы	4	3
67	отношению к	4	3
68	в целом	2	3
69	приводит к	3	3
70	не может	9	3
71	с одной	4	3
72	с точки	2	3
73	столь же	3	3
74	их в	2	3
75	не о	2	3
76	представляет собой	11	3
77	говорить о	2	3
78	не знает	3	3
79	в основе	4	2
80	состоит в	16	2
81	в качестве	16	2
82	как в	8	2
83	это не	3	2
84	а сам	2	2
85	нового времени	5	2
86	и все	3	2
87	в одном	4	2
88	но при	2	2
89	это в	2	2
90	стороны и	2	2
91	этот человек	2	2
92	к своему	2	2
93	этом случае	2	2
94	отличие от	12	2
95	перед лицом	2	2
96	в пределах	4	2
97	при всей	7	2
98	о любви	2	2
99	в свое	2	2
100	а также	8	2
101	в котором	3	2
102	не с	2	2
103	другой стороны	2	2
104	не было	3	2
105	этом отношении	4	2
106	человека в	4	2
107	в мире	11	2
108	роль в	4	2
109	в своих	6	2
110	и на	5	2
111	в результате	2	2
112	между тем	2	2
113	и ее	3	2
114	в другом	3	2
115	и это	2	2
116	здесь не	2	2
117	который по	2	2
118	в области	2	2
