N	2gram	Bakhtin_Pr_4	Komedia
1	и в	46	22
2	том что	4	12
3	в том	9	11
4	но и	12	11
5	не только	14	10
6	в то	5	10
7	как и	12	9
8	может быть	23	9
9	в одном	11	8
10	таким образом	4	8
11	и не	27	8
12	и его	6	8
13	о том	5	8
14	в этой	3	7
15	и других	4	7
16	что в	4	6
17	в отношении	3	6
18	в конце	3	6
19	что он	6	6
20	к тому	2	6
21	ни в	6	6
22	и по	2	6
23	то же	6	6
24	не в	10	6
25	а в	2	6
26	уже в	4	5
27	с другой	3	5
28	прежде всего	9	5
29	о которых	2	5
30	при этом	5	5
31	в его	9	5
32	так и	4	5
33	как в	4	5
34	все это	6	5
35	другой стороны	3	5
36	и даже	3	5
37	потому что	4	5
38	между тем	2	5
39	в их	4	4
40	как мы	12	4
41	в другом	2	4
42	же время	5	4
43	в котором	5	4
44	в нем	17	4
45	что и	3	4
46	на него	3	4
47	так в	2	4
48	тем что	3	4
49	в результате	2	4
50	точки зрения	11	4
51	так как	5	4
52	одном из	2	4
53	но в	6	4
54	мы можем	4	4
55	же как	2	3
56	не менее	2	3
57	и одновременно	2	3
58	вопрос о	2	3
59	на то	3	3
60	у нас	2	3
61	и как	2	3
62	здесь в	2	3
63	и сам	5	3
64	и о	3	3
65	у него	5	3
66	да и	4	3
67	хотя и	6	3
68	он не	4	3
69	все же	4	3
70	отношению к	5	3
71	отношение к	3	3
72	так же	3	3
73	по отношению	5	3
74	того как	2	3
75	мы не	4	3
76	как раз	7	3
77	его творчества	3	3
78	и на	11	3
79	в этом	16	3
80	и с	7	3
81	могут быть	2	3
82	только в	6	3
83	и все	9	3
84	ничего не	2	3
85	времени и	2	2
86	и здесь	4	2
87	еще и	4	2
88	за пределы	5	2
89	здесь и	3	2
90	и во	3	2
91	на все	2	2
92	вовсе не	9	2
93	указывает на	2	2
94	от них	2	2
95	точек зрения	4	2
96	раз в	2	2
97	такой же	3	2
98	одна из	2	2
99	на этом	3	2
100	но не	4	2
101	а то	3	2
102	того же	3	2
103	в себя	4	2
104	время и	2	2
105	до конца	4	2
106	до сих	8	2
107	еще не	7	2
108	было бы	3	2
109	в самом	9	2
110	которую он	2	2
111	и тем	2	2
112	с ее	3	2
113	то что	4	2
114	не к	3	2
115	в первой	2	2
116	вместе с	2	2
117	все что	2	2
118	или менее	3	2
119	при всем	2	2
120	то и	2	2
121	для этого	2	2
122	в сущности	7	2
123	не может	19	2
124	в других	2	2
125	к нему	5	2
126	правда в	3	2
127	почти всегда	3	2
128	или в	8	2
129	почти не	2	2
130	но это	6	2
131	тем как	2	2
132	во всяком	2	2
133	к ней	2	2
134	но он	3	2
135	на себя	4	2
136	в себе	7	2
137	по своей	3	2
138	ту же	2	2
139	отличие от	3	2
140	сих пор	8	2
