N	2gram	Propp_Isto_1	KFilosof
1	может быть	25	43
2	в его	5	39
3	в нем	2	31
4	не может	15	27
5	и не	9	26
6	по отношению	3	25
7	и в	28	22
8	в котором	3	21
9	отношению к	3	21
10	в себе	2	21
11	не есть	2	19
12	в ее	2	17
13	а не	15	17
14	и его	3	17
15	только в	11	16
16	в этом	8	13
17	для него	2	12
18	но не	5	12
19	все эти	4	11
20	не в	9	11
21	в своем	5	10
22	это не	7	10
23	все это	4	10
24	во всех	2	10
25	в целом	2	9
26	но и	10	9
27	в их	3	9
28	как бы	2	9
29	и для	4	9
30	если бы	8	8
31	было бы	7	8
32	со стороны	2	8
33	на основе	5	7
34	и здесь	7	7
35	во всем	3	7
36	вовсе не	2	7
37	конечно не	2	7
38	должен быть	3	7
39	что и	6	7
40	то что	9	7
41	себя в	2	7
42	я не	3	6
43	в том	9	6
44	но это	4	6
45	и только	2	6
46	ко мне	2	6
47	этот момент	2	6
48	и их	3	6
49	он не	2	6
50	уже не	3	6
51	никогда не	14	5
52	хотя бы	4	5
53	то же	12	5
54	его как	2	5
55	но все	4	5
56	именно в	3	5
57	должно быть	2	5
58	в основе	4	5
59	его в	6	5
60	с ним	2	5
61	но в	8	5
62	не знает	5	5
63	как и	4	5
64	не только	12	5
65	все же	10	5
66	мы имеем	13	5
67	там где	4	5
68	что в	12	4
69	ни было	2	4
70	для нас	13	4
71	здесь мы	7	4
72	при этом	3	4
73	к ним	4	4
74	не по	2	4
75	между тем	2	4
76	бы быть	3	4
77	в одном	5	4
78	нисколько не	2	4
79	не как	3	4
80	том что	7	4
81	о нем	2	4
82	во всей	2	4
83	а в	7	4
84	должна быть	5	3
85	что это	8	3
86	не менее	6	3
87	не дает	2	3
88	и пр	4	3
89	нет в	2	3
90	был бы	2	3
91	и тем	2	3
92	того что	4	3
93	и на	4	3
94	в ней	7	3
95	в то	3	3
96	о том	9	3
97	мы не	10	3
98	всех этих	2	3
99	тогда когда	2	3
100	ясно что	2	3
101	в некотором	2	3
102	не должен	5	3
103	еще не	7	3
104	в современной	3	3
105	только с	2	3
106	что не	2	3
107	к чему	3	3
108	что этот	2	3
109	тем что	3	3
110	вступает в	2	3
111	могут быть	4	3
112	в другом	3	3
113	здесь не	4	3
114	и этим	2	3
115	ничего не	2	3
116	а с	2	2
117	его и	2	2
118	то ни	2	2
119	прежде всего	10	2
120	вследствие этого	2	2
121	вопрос о	5	2
122	ему в	3	2
123	тем не	6	2
124	и как	2	2
125	и мы	2	2
126	пройти мимо	2	2
127	по себе	3	2
128	для этого	3	2
129	и должен	3	2
130	именно на	2	2
131	отказаться от	2	2
132	а по	2	2
133	потому что	4	2
134	были бы	2	2
135	ни к	2	2
136	мы получим	2	2
137	с тем	4	2
138	раз и	3	2
139	к этому	2	2
140	что он	10	2
141	бы то	2	2
142	разве не	2	2
143	в качестве	5	2
144	тот же	2	2
145	и тот	2	2
146	и когда	2	2
147	и потому	2	2
148	и эти	3	2
149	дело не	5	2
150	так и	9	2
151	как в	2	2
152	в ту	2	2
153	дело с	2	2
154	в виде	2	2
155	чтобы не	3	2
156	и она	2	2
157	мы здесь	3	2
158	от этого	2	2
159	в этой	6	2
160	один и	2	2
161	как оно	2	2
162	дело в	3	2
163	в области	2	2
164	а для	2	2
