N	2gram	Losev_Dial_1	formyVre
1	и в	18	46
2	в этом	12	22
3	прежде всего	10	14
4	и т	21	14
5	вовсе не	7	13
6	только в	3	11
7	не только	13	11
8	т п	2	11
9	в том	9	10
10	как бы	11	10
11	точки зрения	17	10
12	но в	6	10
13	не в	6	9
14	но и	7	9
15	и не	30	9
16	и для	2	9
17	как и	2	8
18	в его	3	8
19	жизни и	3	8
20	то же	10	8
21	для того	2	8
22	с точки	12	8
23	потому что	14	8
24	из них	2	8
25	вещей и	2	7
26	всех этих	3	7
27	в них	3	7
28	может быть	17	7
29	то что	13	7
30	так и	9	7
31	никогда не	9	6
32	и все	3	6
33	и явлений	2	6
34	как мы	4	6
35	здесь в	2	6
36	еще не	2	6
37	все же	5	6
38	все это	11	6
39	в особенности	5	6
40	в основе	3	6
41	так как	11	6
42	и с	5	6
43	в частности	2	5
44	в своем	5	5
45	с этим	2	5
46	связанные с	2	5
47	в дальнейшем	5	5
48	в то	6	5
49	но не	4	5
50	он не	3	5
51	в нем	16	5
52	что в	13	5
53	все эти	2	5
54	и у	2	5
55	должно быть	3	5
56	отнюдь не	9	4
57	с этой	2	4
58	из этих	2	4
59	же время	4	4
60	с ним	6	4
61	пространстве и	2	4
62	том что	9	4
63	так что	15	4
64	что они	3	4
65	есть и	5	4
66	в котором	4	4
67	в мире	2	4
68	и их	2	4
69	конечно не	3	4
70	как в	2	4
71	в эпоху	2	4
72	отношения к	3	4
73	еще более	3	4
74	а не	14	4
75	и он	5	4
76	также и	7	4
77	в себе	11	4
78	о том	4	4
79	не было	6	3
80	о чем	2	3
81	не является	3	3
82	та же	3	3
83	к этому	2	3
84	к тому	4	3
85	что он	11	3
86	и как	7	3
87	это значит	11	3
88	тем более	2	3
89	как у	2	3
90	в качестве	2	3
91	для него	2	3
92	хотя и	4	3
93	точка зрения	2	3
94	как можно	2	3
95	что и	3	3
96	дана в	3	3
97	отношение к	5	3
98	она ни	2	3
99	т д	19	3
100	почти все	2	3
101	в их	3	3
102	уже не	2	3
103	того что	2	3
104	и даже	13	3
105	а в	5	3
106	жизнь и	3	3
107	в которых	2	3
108	и совершенно	2	3
109	в другом	2	3
110	в этих	5	3
111	в виду	5	3
112	на этом	2	2
113	не был	2	2
114	и более	4	2
115	и есть	16	2
116	и та	3	2
117	а потом	5	2
118	друг другу	3	2
119	говорить о	5	2
120	с другой	6	2
121	это не	9	2
122	и так	2	2
123	вещи и	2	2
124	они были	2	2
125	по себе	25	2
126	или иной	3	2
127	одна и	2	2
128	можно сказать	6	2
129	но эта	3	2
130	в отношении	5	2
131	именно в	2	2
132	мы видим	4	2
133	свет и	2	2
134	и пр	5	2
135	она не	6	2
136	было бы	12	2
137	и о	3	2
138	с тождеством	2	2
139	вплоть до	3	2
140	к ним	2	2
141	и потому	3	2
142	если в	3	2
143	и всех	3	2
144	один из	3	2
145	сих пор	2	2
146	для чего	2	2
147	в корне	2	2
148	быть и	4	2
149	не может	12	2
150	на земле	2	2
151	этом отношении	2	2
152	с одной	2	2
153	и вот	6	2
154	так же	4	2
155	у них	3	2
156	почти всегда	4	2
157	в данном	3	2
158	но это	8	2
159	то в	7	2
160	от этого	3	2
161	и от	2	2
162	мы имеем	2	2
163	могут быть	3	2
164	и почти	3	2
165	что здесь	2	2
166	сказал что	2	2
167	не знает	2	2
168	каждом из	2	2
169	в конце	4	2
170	как он	4	2
171	и это	2	2
172	пространства и	2	2
173	как это	4	2
174	во всяком	4	2
175	значит что	14	2
176	до сих	2	2
