N	2gram	Bakhtin_Pr_2	Dialekti
1	не есть	2	47
2	т е	26	30
3	и не	29	30
4	может быть	23	20
5	и в	43	19
6	не только	11	19
7	по себе	11	18
8	и т	13	17
9	а не	7	16
10	т д	4	15
11	в себе	5	15
12	то что	7	14
13	и даже	3	14
14	в том	6	14
15	как бы	22	14
16	так как	4	14
17	вовсе не	5	13
18	но и	14	12
19	то же	8	12
20	точки зрения	13	12
21	и все	6	12
22	что это	2	10
23	ни в	2	10
24	как и	14	10
25	и как	2	10
26	в нем	12	10
27	так и	3	10
28	том что	2	10
29	это не	3	10
30	сказать что	2	10
31	времени и	2	9
32	никогда не	9	9
33	не может	18	9
34	же и	4	9
35	прежде всего	10	8
36	она не	3	8
37	мы уже	3	8
38	с точки	8	8
39	не в	11	8
40	в этом	13	8
41	в своей	4	8
42	сама по	4	7
43	но это	4	7
44	и к	3	7
45	совершенно не	4	7
46	что в	4	7
47	должно быть	4	7
48	время как	2	7
49	и то	2	7
50	в поэзии	2	7
51	так что	5	7
52	я не	4	6
53	и та	2	6
54	что он	13	6
55	что не	2	6
56	да и	5	6
57	в то	7	6
58	но не	5	6
59	есть и	3	6
60	конечно не	2	6
61	того что	2	6
62	не могу	2	6
63	чтобы не	2	6
64	сознания и	3	5
65	должна быть	3	5
66	с другой	4	5
67	же время	5	5
68	по своему	2	5
69	и пр	2	5
70	в самом	7	5
71	и следовательно	3	5
72	что и	3	5
73	и это	4	5
74	как раз	4	5
75	иной раз	2	5
76	в одно	3	5
77	и что	5	5
78	и его	8	5
79	только в	4	5
80	о том	5	5
81	и с	5	5
82	в виду	3	5
83	уже в	2	4
84	в своем	4	4
85	та же	2	4
86	в одном	12	4
87	нельзя сказать	2	4
88	не могут	4	4
89	быть в	2	4
90	одна и	2	4
91	все же	3	4
92	при этом	6	4
93	говорят что	3	4
94	то время	2	4
95	одно и	2	4
96	еще не	9	4
97	к нему	5	4
98	за пределы	3	4
99	той или	3	4
100	он не	9	4
101	хотя бы	2	4
102	быть и	2	4
103	без всякого	2	4
104	все это	5	4
105	другой стороны	3	4
106	и только	3	4
107	таким образом	5	4
108	самом деле	5	4
109	а в	5	4
110	в таком	2	4
111	в одной	3	4
112	могут быть	3	4
113	но он	4	4
114	что тут	2	4
115	в другом	7	4
116	как он	2	4
117	с ним	3	4
118	сам по	5	3
119	не менее	3	3
120	в этих	6	3
121	он есть	2	3
122	была бы	2	3
123	вопрос о	2	3
124	ведь это	2	3
125	об этом	2	3
126	как мы	10	3
127	уже не	3	3
128	даны в	3	3
129	что если	3	3
130	и слова	2	3
131	кроме того	3	3
132	себе как	2	3
133	было бы	5	3
134	себе и	4	3
135	у меня	5	3
136	даже в	3	3
137	как же	2	3
138	из них	2	3
139	и их	3	3
140	с этим	2	3
141	в той	5	3
142	должны быть	2	3
143	что такое	2	3
144	между собою	4	3
145	что этот	2	3
146	его в	3	3
147	или как	4	3
148	тело и	2	3
149	ничего не	3	3
150	все его	2	3
151	же не	4	3
152	что же	7	2
153	уже и	2	2
154	в узком	2	2
155	что у	2	2
156	перед нами	7	2
157	и говорить	2	2
158	в конце	2	2
159	человека и	2	2
160	если мы	2	2
161	то это	2	2
162	к тому	4	2
163	что на	2	2
164	тем не	2	2
165	но все	2	2
166	что я	6	2
167	так чтобы	4	2
168	или менее	3	2
169	и нет	4	2
170	до сих	7	2
171	в сущности	9	2
172	оно должно	2	2
173	сих пор	7	2
174	себя в	3	2
175	во всех	4	2
176	на него	3	2
177	я сам	2	2
178	ее в	2	2
179	в каждом	11	2
180	в их	3	2
181	так же	2	2
182	не на	4	2
183	не во	2	2
184	т п	9	2
185	например в	2	2
186	того как	2	2
187	в голове	2	2
188	как в	2	2
189	это все	3	2
190	и они	2	2
191	того и	3	2
192	это я	2	2
193	более или	3	2
194	это вовсе	2	2
195	тем же	2	2
196	бы и	2	2
197	или в	8	2
198	с ними	2	2
199	в своих	2	2
200	также и	3	2
201	в результате	4	2
202	их в	4	2
203	и при	2	2
204	бы ни	2	2
205	между тем	3	2
206	не как	6	2
207	тем что	3	2
208	в виде	3	2
209	во время	4	2
210	во всяком	2	2
211	но ведь	5	2
212	все эти	5	2
213	есть в	3	2
214	ни на	3	2
215	но в	10	2
216	я и	2	2
217	в жизни	3	2
