N	2gram	Propp_Isto_1	Poddanst
1	не только	12	17
2	и в	28	14
3	и не	9	12
4	в области	2	11
5	в этом	8	10
6	то же	12	9
7	в том	9	9
8	в качестве	5	9
9	но в	8	9
10	хотя бы	4	8
11	в пределах	4	8
12	в то	3	7
13	только в	11	7
14	но и	10	6
15	в ней	7	6
16	xix века	2	6
17	было бы	7	6
18	с другой	6	5
19	не в	9	5
20	и пр	4	5
21	может быть	25	5
22	в котором	3	4
23	то что	9	4
24	что в	12	4
25	если бы	8	4
26	в своем	5	4
27	не может	15	4
28	по себе	3	4
29	а в	7	4
30	том что	7	4
31	мы должны	13	4
32	и если	2	4
33	в русской	2	4
34	как бы	2	4
35	и потому	2	4
36	в нем	2	3
37	и т	25	3
38	с тем	4	3
39	столь же	2	3
40	это не	7	3
41	с одной	4	3
42	т е	10	3
43	прежде всего	10	3
44	мы не	10	3
45	и как	2	3
46	между тем	2	3
47	но не	5	3
48	могут быть	4	3
49	в себе	2	3
50	что мы	7	3
51	тот же	2	3
52	одной стороны	4	3
53	наряду с	3	3
54	вслед за	6	3
55	потому что	4	3
56	не менее	6	2
57	и тем	2	2
58	именно в	3	2
59	во всех	2	2
60	в частности	2	2
61	не будем	5	2
62	со стороны	2	2
63	все это	4	2
64	во всей	2	2
65	как раз	2	2
66	отношения к	2	2
67	с этим	4	2
68	пути в	2	2
69	и вот	2	2
70	а не	15	2
71	того что	4	2
72	к чему	3	2
73	в которую	3	2
74	должно быть	2	2
75	для нас	13	2
76	в ее	2	2
77	одна из	2	2
78	в силу	5	2
79	в виде	2	2
80	в начале	3	2
81	из них	3	2
82	и мы	2	2
83	например в	5	2
84	мысль о	2	2
85	в его	5	2
86	и с	4	2
