N	3gram	Bakhtin_Pr_2	Myshleni
1	в том что	4	21
2	с точки зрения	9	18
3	в зависимости от	3	6
4	на то что	2	6
5	не может быть	6	6
6	по сравнению с	2	5
7	по отношению к	8	5
8	в самом деле	3	4
9	о том что	3	4
10	в том числе	2	3
11	смысле этого слова	2	3
12	том числе и	2	3
13	мы уже говорили	2	3
14	в этом отношении	2	3
15	друг от друга	2	2
16	само по себе	2	2
17	хотя бы и	2	2
18	на протяжении всего	2	2
19	сама по себе	5	2
20	и в самом	2	2
21	в этом смысле	5	2
22	подобно тому как	2	2
23	друг с другом	2	2
