N	2gram	Voloshinov_1	Myslijsy
1	в том	2	32
2	и в	13	30
3	может быть	8	28
4	то же	4	23
5	не только	6	21
6	только в	6	21
7	но и	3	19
8	том что	2	18
9	то что	6	18
10	что в	3	17
11	в себе	3	16
12	в сознании	4	15
13	не в	3	15
14	и не	8	15
15	а не	2	15
16	таким образом	6	14
17	так как	3	13
18	а в	2	12
19	если бы	2	12
20	так и	3	11
21	как и	3	10
22	как в	2	10
23	в этом	2	10
24	для него	2	9
25	было бы	4	9
26	в нем	2	9
27	мы не	4	9
28	между тем	2	9
29	в самом	2	8
30	в ней	2	8
31	и то	3	8
32	с другой	2	7
33	вовсе не	2	7
34	к тому	2	7
35	есть не	2	7
36	в языке	2	7
37	с одной	2	7
38	тем что	2	7
39	с этим	3	6
40	между собою	2	6
41	те же	2	6
42	художественное произведение	2	6
43	не может	8	6
44	не имеет	2	6
45	уже в	2	5
46	в них	2	5
47	думать что	2	5
48	художественного произведения	5	5
49	в действительности	2	5
50	и тем	2	5
51	отношению к	3	5
52	не менее	2	5
53	по отношению	3	5
54	одно и	3	5
55	к одному	3	5
56	слова и	2	5
57	все это	4	4
58	в его	7	4
59	другой стороны	2	4
60	и его	12	4
61	мы должны	6	4
62	и при	2	4
63	слово в	3	4
64	могут быть	2	3
65	прежде всего	9	3
66	и все	3	3
67	мы можем	4	3
68	одной стороны	2	3
69	при этом	2	3
70	и может	2	3
71	вслед за	2	3
72	и следовательно	2	3
73	как бы	6	3
74	для себя	2	3
75	в целом	2	3
76	так же	2	3
77	в каждом	4	3
78	в искусстве	3	3
79	говорить о	3	3
80	в произведении	2	3
81	там где	2	3
82	в чем	2	3
83	в которой	3	3
84	не столько	3	2
85	не как	3	2
86	в одном	3	2
87	а как	2	2
88	же слово	2	2
89	в ее	3	2
90	поэтического произведения	3	2
91	мы видим	2	2
92	что они	2	2
93	несмотря на	2	2
94	мы уже	2	2
95	за пределы	3	2
96	себе что	2	2
97	собственно говоря	2	2
98	но мы	4	2
99	все же	5	2
100	в своей	4	2
101	что же	3	2
102	в их	3	2
103	входит в	2	2
104	самом деле	3	2
105	и наконец	5	2
106	языка и	5	2
107	с этой	2	2
108	от этого	2	2
109	точки зрения	7	2
110	бы в	2	2
111	ничего общего	3	2
112	может стать	2	2
113	явлений и	2	2
114	что эта	2	2
115	которое мы	2	2
116	в области	2	2
117	при восприятии	2	2
