N	2gram	Savitsky_E_1	Vladivir
1	и в	37	31
2	не только	18	24
3	но и	14	19
4	то что	6	18
5	и не	14	17
6	и даже	6	15
7	том что	6	14
8	что в	21	14
9	в этом	12	14
10	и с	2	14
11	в его	2	12
12	но в	14	12
13	в том	11	11
14	между прочим	7	11
15	потому что	3	11
16	о том	3	11
17	и то	2	10
18	также и	7	10
19	он не	2	10
20	никогда не	3	9
21	как мы	5	9
22	с а	2	9
23	а в	2	9
24	в течение	5	9
25	только в	9	9
26	и по	5	8
27	в то	16	8
28	так как	7	8
29	как это	4	7
30	сказать что	4	7
31	и к	3	6
32	можно сказать	4	6
33	в качестве	14	6
34	того же	3	6
35	и потому	5	6
36	может быть	6	6
37	в котором	2	6
38	так и	10	6
39	не может	9	6
40	то же	15	6
41	и что	2	6
42	на этот	2	6
43	вовсе не	6	5
44	на то	6	5
45	не в	5	5
46	но как	2	5
47	и если	2	5
48	и от	3	5
49	а также	7	5
50	что и	3	5
51	жизни и	2	5
52	когда он	3	5
53	что же	2	5
54	в своих	2	5
55	же время	14	4
56	в своем	14	4
57	и все	2	4
58	и теперь	2	4
59	этом смысле	3	4
60	главным образом	2	4
61	для нас	4	4
62	к ней	4	4
63	в себе	9	4
64	как и	7	4
65	и как	2	4
66	в этой	2	4
67	по своей	2	4
68	хотя и	2	4
69	в своей	8	4
70	в истории	2	4
71	несмотря на	4	4
72	дело в	3	4
73	в россии	5	4
74	к нему	2	4
75	в общем	3	3
76	только к	2	3
77	но на	3	3
78	к тому	8	3
79	в виде	5	3
80	отнюдь не	9	3
81	с другой	7	3
82	как в	3	3
83	но не	5	3
84	по своему	7	3
85	вместе с	2	3
86	по своим	3	3
87	другой стороны	2	3
88	в отношении	32	3
89	что к	2	3
90	таким образом	2	3
91	и притом	4	3
92	и на	6	3
93	с в	2	3
94	на себя	3	3
95	то есть	6	3
96	место в	3	2
97	во многом	2	2
98	можно считать	3	2
99	тем что	3	2
100	он сам	2	2
101	с и	10	2
102	с тем	3	2
103	уже и	3	2
104	в частности	5	2
105	но даже	4	2
106	в них	3	2
107	хотя бы	15	2
108	что все	2	2
109	одной из	5	2
110	и можно	2	2
111	тем более	4	2
112	как было	3	2
113	в англию	2	2
114	того что	7	2
115	было бы	8	2
116	кажется что	2	2
117	и мы	3	2
118	ними и	2	2
119	что на	2	2
120	в самом	4	2
121	всяком случае	3	2
122	даже в	4	2
123	и тут	2	2
124	в свои	2	2
125	из них	3	2
126	со стороны	5	2
127	а именно	2	2
128	и для	3	2
129	начиная с	2	2
130	россии и	3	2
131	и других	2	2
132	на основании	2	2
133	и сейчас	2	2
134	тем самым	5	2
135	того чтобы	6	2
136	для того	6	2
137	как на	3	2
138	не из	3	2
139	в результате	3	2
140	во всяком	3	2
141	точки зрения	23	2
142	в каком	4	2
143	и еще	2	2
144	мы должны	2	2
145	этот факт	3	2
146	его на	2	2
147	в полной	4	2
