N	2gram	Propp_Russ_2	VeschiIm
1	т е	24	42
2	не может	5	33
3	не только	10	31
4	может быть	13	29
5	и в	29	26
6	то что	5	24
7	и т	5	21
8	т д	5	20
9	а не	4	20
10	что она	3	14
11	и что	5	13
12	того что	3	13
13	что это	3	12
14	было бы	3	12
15	но и	8	12
16	все же	2	12
17	и то	2	12
18	и ее	2	12
19	таким образом	6	11
20	а и	2	11
21	то же	4	10
22	уже не	4	10
23	как бы	18	10
24	потому что	5	10
25	в том	22	9
26	и с	10	9
27	прежде всего	2	9
28	иное как	2	8
29	что иное	2	8
30	не что	2	8
31	совершенно не	2	7
32	в свете	3	7
33	в то	2	7
34	его в	8	7
35	так как	13	7
36	е в	10	7
37	если она	2	7
38	том что	22	7
39	и пр	2	7
40	с другими	3	7
41	в этом	11	7
42	так что	4	6
43	и как	2	6
44	что в	22	6
45	но если	3	6
46	должно быть	2	6
47	когда мы	2	6
48	но в	5	6
49	она не	3	6
50	можно было	2	6
51	быть только	2	6
52	не менее	2	5
53	это не	5	5
54	с этой	2	5
55	тем не	2	5
56	не в	4	5
57	еще не	6	5
58	для этого	5	5
59	а в	9	5
60	что для	3	5
61	с тем	6	5
62	в ее	3	5
63	у нас	4	5
64	это и	2	5
65	одна из	11	5
66	но не	5	5
67	и для	2	5
68	на себя	2	5
69	с другой	2	4
70	из них	4	4
71	в их	2	4
72	то и	4	4
73	в и	3	4
74	с этим	2	4
75	о том	9	4
76	говорить что	2	4
77	и все	4	4
78	как и	11	4
79	так чтобы	2	4
80	во всех	3	4
81	и о	3	4
82	должен быть	2	4
83	что и	2	4
84	этот вопрос	2	4
85	мы не	6	4
86	в данном	6	4
87	тем что	3	4
88	никогда не	2	3
89	вопрос о	4	3
90	на этом	3	3
91	и всем	2	3
92	все это	10	3
93	их в	4	3
94	мы имеем	6	3
95	тогда когда	4	3
96	один из	2	3
97	или ее	3	3
98	к ней	2	3
99	как можно	2	3
100	в своей	2	3
101	вместе с	6	3
102	а с	2	3
103	того чтобы	6	3
104	тому как	3	3
105	с в	8	3
106	подобно тому	3	3
107	как оно	2	3
108	что на	2	2
109	переход от	2	2
110	кроме того	2	2
111	что ее	3	2
112	в виду	2	2
113	но она	2	2
114	данном случае	7	2
115	а а	8	2
116	так же	4	2
117	жизнь и	2	2
118	в своих	2	2
119	как это	4	2
120	о чем	4	2
121	жизни в	2	2
122	если он	2	2
123	не с	2	2
124	а затем	4	2
125	в качестве	3	2
126	об этом	2	2
127	как в	7	2
128	но можно	2	2
129	тогда как	2	2
130	как мы	3	2
131	для того	6	2
132	моментов в	2	2
133	не все	4	2
