N	2gram	Vygotskiy__3	SlovoVZh
1	не может	6	16
2	точки зрения	6	14
3	может быть	13	14
4	и его	2	13
5	как бы	10	13
6	таким образом	17	12
7	и в	25	12
8	отношению к	2	11
9	по отношению	3	11
10	и не	10	10
11	если бы	5	9
12	так как	12	9
13	прежде всего	4	8
14	для нас	2	7
15	сказать что	4	7
16	в нем	2	6
17	все время	2	6
18	в процессе	27	6
19	при этом	5	6
20	с помощью	42	6
21	в том	23	6
22	только в	10	6
23	слова и	6	6
24	в жизни	3	5
25	то что	15	5
26	никогда не	4	5
27	то же	2	5
28	как и	15	5
29	том что	20	5
30	отнюдь не	4	5
31	как в	9	5
32	что мы	7	5
33	и к	5	4
34	ни было	2	4
35	все же	6	4
36	так и	5	4
37	от того	4	4
38	с другой	6	4
39	уже не	2	4
40	зависимости от	6	4
41	не в	6	4
42	в этом	14	4
43	и на	6	4
44	его в	3	4
45	в самом	3	4
46	не только	6	4
47	в котором	3	3
48	в них	2	3
49	находит свое	2	3
50	не менее	6	3
51	когда он	3	3
52	в своей	2	3
53	все это	6	3
54	и по	5	3
55	все эти	7	3
56	ясно что	2	3
57	по себе	7	3
58	этой точки	2	3
59	но и	4	3
60	того что	10	3
61	тем не	5	3
62	ни в	9	3
63	так же	17	3
64	мы не	9	3
65	о том	5	3
66	в каком	2	3
67	в себе	2	3
68	для него	5	3
69	еще не	4	3
70	и для	2	3
71	внутренней речи	19	3
72	с ним	4	3
73	между тем	3	3
74	место в	2	2
75	уже в	7	2
76	с этой	3	2
77	какой степени	4	2
78	с его	2	2
79	что и	10	2
80	независимо от	4	2
81	но все	2	2
82	от всех	2	2
83	что в	17	2
84	вместе с	14	2
85	значения и	5	2
86	в зависимости	5	2
87	в этих	2	2
88	все они	2	2
89	между собой	13	2
90	в своем	4	2
91	в отношении	6	2
92	в какой	4	2
93	другой стороны	3	2
94	что слово	4	2
95	дело с	3	2
96	мы имеем	4	2
97	и все	4	2
98	тогда когда	4	2
99	речи в	4	2
100	с одной	5	2
101	к этому	3	2
102	связь с	3	2
103	в себя	3	2
104	конечно в	2	2
105	его к	3	2
106	и слово	3	2
107	и что	10	2
108	едва ли	2	2
109	не есть	3	2
110	и здесь	2	2
111	как на	2	2
112	с другими	2	2
113	но это	5	2
114	в корне	2	2
115	и то	2	2
116	мы можем	7	2
117	но не	6	2
118	могут быть	5	2
119	но тем	2	2
120	в то	4	2
121	одной стороны	5	2
122	ни на	2	2
123	метод в	2	2
124	мы в	2	2
125	имеет место	3	2
126	как уже	6	2
127	там где	4	2
128	оно не	2	2
129	в чем	2	2
130	как это	7	2
131	является для	2	2
132	совпадает с	6	2
133	он не	4	2
134	мы никогда	2	2
135	в основном	6	2
136	в его	15	2
137	и потому	2	2
138	между ними	3	2
