N	2gram	Bakhtin_fo_1	Mirosoze
1	и в	50	46
2	в нем	24	22
3	у него	6	22
4	может быть	11	21
5	в этом	25	20
6	никогда не	2	18
7	для него	2	18
8	и не	14	18
9	не только	9	18
10	но и	8	15
11	не может	6	15
12	человека в	17	14
13	как и	8	13
14	а не	3	13
15	прежде всего	15	12
16	друг друга	3	12
17	потому что	4	12
18	не было	7	11
19	в ней	4	11
20	но он	2	11
21	но в	10	10
22	он не	5	10
23	в себе	3	10
24	не в	5	9
25	не знает	3	9
26	как бы	2	8
27	в своем	4	8
28	так как	6	8
29	отношение к	2	8
30	человека и	11	7
31	в нашем	2	7
32	и к	2	7
33	и потому	3	7
34	как в	6	7
35	хотя бы	2	7
36	и для	4	7
37	вопрос о	2	6
38	так же	6	6
39	жизнь в	2	6
40	того что	2	6
41	жизни и	8	6
42	то же	11	5
43	в отношении	3	5
44	что все	2	5
45	совсем не	2	5
46	в самом	8	5
47	один из	3	5
48	те же	2	5
49	это не	6	5
50	в конце	9	5
51	друг к	2	5
52	и все	6	5
53	есть не	3	5
54	во всем	2	5
55	к тому	3	5
56	по преимуществу	3	5
57	к другу	2	5
58	то что	6	5
59	в своей	2	5
60	для того	5	5
61	и его	16	5
62	в его	13	5
63	и это	4	5
64	что в	5	4
65	до конца	4	4
66	нет в	2	4
67	жизни это	2	4
68	только и	5	4
69	они не	3	4
70	не имеет	4	4
71	также и	2	4
72	с его	9	4
73	в жизни	6	4
74	в свою	2	4
75	том что	4	4
76	что и	3	4
77	так и	12	4
78	уже не	2	4
79	того чтобы	5	4
80	у них	2	4
81	жизнь и	4	4
82	его на	2	4
83	человек в	3	3
84	же как	2	3
85	себя и	3	3
86	в образе	5	3
87	ни в	8	3
88	в том	9	3
89	лишь как	2	3
90	с самим	5	3
91	смысле слова	2	3
92	и нет	2	3
93	момент в	2	3
94	жизни в	8	3
95	не для	2	3
96	и на	8	3
97	сказать что	3	3
98	и с	4	3
99	его в	3	3
100	как он	2	3
101	нет ничего	4	3
102	с ним	2	3
103	они были	2	3
104	если бы	5	3
105	в них	4	3
106	к другому	2	3
107	и во	7	3
108	что было	3	3
109	в трагедии	2	3
110	до сих	3	3
111	на почве	2	3
112	сих пор	3	3
113	той же	2	3
114	тем что	2	3
115	только в	4	3
116	есть в	2	3
117	в чем	2	3
118	жизни не	3	2
119	место в	2	2
120	уже в	2	2
121	но на	4	2
122	мы еще	3	2
123	в этих	3	2
124	мир и	2	2
125	или иной	2	2
126	но эта	3	2
127	да и	3	2
128	лишь один	2	2
129	традицией и	2	2
130	но для	2	2
131	хотя и	3	2
132	же и	2	2
133	не к	2	2
134	но она	2	2
135	этот процесс	5	2
136	не имеют	3	2
137	по отношению	3	2
138	отношения к	3	2
139	в разных	5	2
140	чем не	3	2
141	и других	3	2
142	лишь в	6	2
143	а в	3	2
144	и те	3	2
145	к себе	4	2
146	в более	2	2
147	в основе	5	2
148	личности и	2	2
149	не о	2	2
150	точки зрения	5	2
151	самим собою	3	2
152	друг за	2	2
153	человек и	2	2
154	же что	2	2
155	тогда когда	2	2
156	по себе	2	2
157	мы видим	3	2
158	связи с	6	2
159	чем в	2	2
160	себе и	3	2
161	в сущности	3	2
162	во всех	6	2
163	к ней	2	2
164	оно не	2	2
165	отношению к	5	2
166	нем нет	2	2
167	принадлежит к	2	2
168	вместе с	3	2
169	быть и	2	2
170	ее в	2	2
171	момент его	2	2
172	человеческой жизни	6	2
173	в центре	2	2
174	еще более	3	2
175	к своему	2	2
176	что не	3	2
177	и эта	2	2
178	нас в	3	2
179	от этого	2	2
180	в которой	2	2
181	ничего не	9	2
