N	2gram	Losev_Vlad_3	slovoVRo
1	и в	40	39
2	может быть	8	37
3	и его	10	33
4	то есть	24	26
5	не только	25	24
6	и не	25	22
7	но и	18	21
8	не может	14	20
9	в нем	3	19
10	до конца	4	17
11	в этом	16	16
12	так и	6	15
13	а не	8	14
14	отличие от	3	13
15	в отличие	3	12
16	в истории	5	11
17	вовсе не	13	10
18	к своему	2	9
19	не в	3	9
20	и с	9	9
21	прежде всего	10	8
22	оно не	3	8
23	таким образом	11	8
24	точки зрения	13	8
25	с его	2	7
26	при этом	3	7
27	для него	8	7
28	еще не	4	7
29	в его	14	7
30	как бы	3	7
31	никогда не	11	7
32	в этих	2	7
33	и потому	10	7
34	и даже	6	7
35	как мы	8	7
36	и к	2	6
37	все же	4	6
38	как и	7	6
39	в своем	8	6
40	но не	4	6
41	она не	2	6
42	в сущности	2	6
43	все эти	5	6
44	но в	4	6
45	не могут	2	5
46	с другой	5	5
47	это не	3	5
48	и для	3	5
49	и все	4	5
50	по себе	6	5
51	для нас	5	5
52	том что	18	5
53	но все	3	5
54	одной стороны	3	5
55	только в	13	5
56	в том	18	5
57	той или	2	5
58	с одной	3	5
59	уже не	9	5
60	и наконец	2	5
61	не менее	9	4
62	ни в	10	4
63	же время	2	4
64	в смысле	6	4
65	в основном	4	4
66	на почве	2	4
67	в отношении	5	4
68	отношения к	5	4
69	то же	4	4
70	в таком	3	4
71	а в	7	4
72	и на	6	4
73	даже и	12	4
74	xix века	6	4
75	в то	7	4
76	его в	2	4
77	здесь не	3	4
78	во всем	6	4
79	так как	7	4
80	или как	4	4
81	перед нами	3	3
82	что в	17	3
83	хотя бы	6	3
84	не столько	3	3
85	и от	6	3
86	человека и	3	3
87	должна быть	2	3
88	стороны и	2	3
89	здесь в	4	3
90	не с	4	3
91	что и	7	3
92	но это	6	3
93	связи с	2	3
94	у него	24	3
95	и как	7	3
96	с их	3	3
97	в ней	5	3
98	к нему	3	3
99	быть и	2	3
100	бы и	4	3
101	этом отношении	2	3
102	а также	8	3
103	с точки	6	3
104	сказать что	12	3
105	еще раз	2	3
106	в чем	3	3
107	как это	4	3
108	во всяком	3	3
109	чем в	4	2
110	в данном	5	2
111	уже в	3	2
112	не был	8	2
113	не было	5	2
114	и более	2	2
115	независимо от	3	2
116	ни к	2	2
117	хотя и	7	2
118	в нашем	2	2
119	как например	2	2
120	только о	3	2
121	в себе	9	2
122	и здесь	6	2
123	что он	5	2
124	если оно	4	2
125	в одно	2	2
126	в дальнейшем	4	2
127	более или	5	2
128	очень легко	2	2
129	и само	2	2
130	и чисто	3	2
131	только и	5	2
132	мы уже	5	2
133	за пределы	3	2
134	но оно	2	2
135	же и	2	2
136	всяком случае	3	2
137	даже в	4	2
138	не все	3	2
139	с таким	2	2
140	но мы	2	2
141	мы видели	3	2
142	то что	28	2
143	дело в	5	2
144	его всегда	2	2
145	вместе с	7	2
146	все они	2	2
147	на него	2	2
148	или менее	5	2
149	и речи	2	2
150	а именно	12	2
151	в их	2	2
152	самого же	3	2
153	кроме того	6	2
154	отличается от	3	2
155	в связи	3	2
156	и ни	2	2
157	с этим	2	2
158	в виде	13	2
159	которых мы	2	2
160	именно в	3	2
161	не меньше	2	2
162	мы не	2	2
163	того чтобы	3	2
164	для того	2	2
165	роль в	2	2
166	также и	17	2
167	в результате	4	2
168	он не	8	2
169	как с	2	2
170	далеко не	3	2
171	к его	2	2
172	но как	2	2
173	в другом	2	2
174	о том	11	2
175	только с	2	2
176	в одном	5	2
