N	2gram	Bakhtin_Fr_5	KulturaY
1	потому что	7	25
2	и в	45	23
3	не только	14	20
4	в том	10	19
5	в этом	14	18
6	и не	15	16
7	было бы	2	15
8	так как	6	15
9	может быть	2	15
10	точки зрения	4	14
11	в самом	4	12
12	все эти	5	12
13	том что	7	11
14	того чтобы	6	11
15	но в	14	11
16	что в	12	10
17	а не	4	10
18	вовсе не	8	9
19	в сущности	4	9
20	то что	2	9
21	самом деле	5	9
22	для того	6	9
23	хотя бы	2	9
24	можно было	4	9
25	не может	5	9
26	прежде всего	10	8
27	не в	7	8
28	в качестве	2	8
29	и что	2	8
30	с точки	2	8
31	что это	2	7
32	не менее	3	7
33	все же	2	7
34	но и	10	7
35	с помощью	3	7
36	и с	10	7
37	это не	3	6
38	в этой	6	6
39	но не	4	6
40	то же	11	6
41	между тем	2	6
42	и на	5	6
43	ту же	2	6
44	не могут	2	5
45	что все	2	5
46	что он	6	5
47	об этом	4	5
48	по существу	3	5
49	несмотря на	2	5
50	в его	13	5
51	один из	2	5
52	должен быть	2	5
53	слова и	2	5
54	вместе с	3	5
55	все это	7	5
56	таким образом	8	5
57	там где	3	5
58	и вот	3	5
59	лишь в	2	5
60	как это	4	5
61	и здесь	4	5
62	только в	4	5
63	также и	7	5
64	в них	6	4
65	перед нами	4	4
66	к этому	2	4
67	если мы	2	4
68	можно сказать	2	4
69	к тому	2	4
70	что на	3	4
71	ни в	3	4
72	в пределах	2	4
73	своего рода	4	4
74	от того	3	4
75	хотя и	5	4
76	как бы	12	4
77	в нем	10	4
78	так же	8	4
79	в связи	5	4
80	не было	3	4
81	и о	4	4
82	не имеет	3	4
83	в данном	2	4
84	сказать что	4	4
85	говорить о	2	4
86	в то	11	4
87	в конце	7	4
88	в особенности	2	4
89	ничего не	4	4
90	так и	6	4
91	на этом	5	3
92	нисколько не	3	3
93	у него	4	3
94	всех этих	6	3
95	на фоне	2	3
96	же время	9	3
97	а также	4	3
98	это и	5	3
99	но это	5	3
100	того же	3	3
101	связи с	6	3
102	в ней	8	3
103	он не	6	3
104	что и	7	3
105	что она	3	3
106	как в	3	3
107	как раз	5	3
108	так в	2	3
109	с этим	4	3
110	этом отношении	5	3
111	именно в	3	3
112	как мы	8	3
113	того что	3	3
114	а в	4	3
115	и его	13	3
116	языка но	2	3
117	и это	4	3
118	есть в	3	3
119	здесь не	6	3
120	в атмосфере	6	2
121	в отношении	2	2
122	только для	2	2
123	же как	4	2
124	с тем	2	2
125	это в	2	2
126	и есть	2	2
127	мысль и	2	2
128	и от	4	2
129	и все	7	2
130	и до	2	2
131	на все	2	2
132	связанные с	3	2
133	очень часто	4	2
134	в самой	8	2
135	всякого рода	2	2
136	в другом	3	2
137	нельзя было	2	2
138	когда в	2	2
139	при этом	2	2
140	по поводу	4	2
141	и если	2	2
142	конечно не	2	2
143	и даже	4	2
144	к нему	2	2
145	мы видели	7	2
146	превращается в	2	2
147	в своей	3	2
148	на том	2	2
149	все они	4	2
150	данном случае	2	2
151	не хочет	2	2
152	а именно	2	2
153	в их	4	2
154	взглянуть на	2	2
155	в своем	11	2
156	в отличие	2	2
157	и для	3	2
158	еще и	3	2
159	на самом	5	2
160	как и	10	2
161	в году	3	2
162	чтобы не	2	2
163	можно говорить	2	2
164	и у	5	2
165	на этот	3	2
166	той же	4	2
167	рядом с	2	2
168	роль в	2	2
169	почти всегда	3	2
170	конечно и	2	2
171	в которых	3	2
172	от этого	2	2
173	нуждается в	3	2
174	он и	3	2
175	и вообще	2	2
176	что эта	2	2
177	большинстве случаев	2	2
178	отличие от	2	2
