N	2gram	Nazirov_Vr_1	SlovoVZh
1	не может	2	16
2	точки зрения	2	14
3	может быть	4	14
4	и его	3	13
5	как бы	4	13
6	таким образом	2	12
7	и в	8	12
8	и не	5	10
9	для нас	4	7
10	в нем	6	6
11	при этом	4	6
12	в том	3	6
13	в ней	4	6
14	то что	7	5
15	никогда не	2	5
16	то же	5	5
17	как и	6	5
18	том что	3	5
19	отнюдь не	2	5
20	но в	6	5
21	в виду	4	5
22	все же	6	4
23	отношение к	2	4
24	уже не	2	4
25	к автору	2	4
26	в этом	8	4
27	его в	3	4
28	не только	9	4
29	в котором	6	3
30	в них	2	3
31	и уже	3	3
32	не менее	2	3
33	в своей	2	3
34	все это	4	3
35	но и	7	3
36	так же	4	3
37	и с	6	3
38	о том	4	3
39	и ее	2	3
40	в себе	2	3
41	для него	2	3
42	еще не	2	3
43	с ним	4	3
44	между тем	5	3
45	место в	2	2
46	уже в	4	2
47	с его	3	2
48	что в	7	2
49	вместе с	2	2
50	в своем	3	2
51	это не	4	2
52	и все	7	2
53	к этому	3	2
54	и что	8	2
55	с точки	2	2
56	как же	2	2
57	но это	2	2
58	и то	2	2
59	в момент	2	2
60	в то	5	2
61	на это	2	2
62	в чем	3	2
63	к ним	2	2
64	он не	3	2
65	в его	3	2
