N	2gram	Bakhtin_sl_2	SlovoVZh
1	не может	20	16
2	точки зрения	8	14
3	может быть	37	14
4	и его	33	13
5	как бы	7	13
6	таким образом	8	12
7	и в	39	12
8	в нашем	2	11
9	отношению к	4	11
10	по отношению	4	11
11	и не	22	10
12	так как	4	9
13	прежде всего	8	8
14	для нас	5	7
15	сказать что	3	7
16	в нем	19	6
17	в процессе	13	6
18	при этом	7	6
19	с помощью	4	6
20	в том	5	6
21	только в	5	6
22	слова и	8	6
23	в ней	3	6
24	и др	4	5
25	то что	2	5
26	должна быть	3	5
27	никогда не	7	5
28	а не	14	5
29	то же	4	5
30	хотя бы	3	5
31	как и	6	5
32	том что	5	5
33	как в	13	5
34	героя и	5	5
35	но в	6	5
36	и к	6	4
37	все же	6	4
38	отношение к	4	4
39	жизни и	6	4
40	к материалу	2	4
41	так и	15	4
42	с другой	5	4
43	уже не	5	4
44	зависимости от	4	4
45	не в	9	4
46	в этом	16	4
47	и на	4	4
48	материала и	3	4
49	его в	4	4
50	дело в	2	4
51	к нему	3	4
52	за пределы	2	4
53	не только	24	4
54	в них	6	3
55	отношении к	4	3
56	точка зрения	2	3
57	и более	2	3
58	не менее	4	3
59	в некоторых	3	3
60	быть и	3	3
61	сих пор	2	3
62	все это	16	3
63	как к	3	3
64	на границе	2	3
65	все эти	6	3
66	по себе	5	3
67	слово в	11	3
68	но и	21	3
69	и наконец	5	3
70	и проч	2	3
71	точек зрения	3	3
72	ни в	4	3
73	мы не	2	3
74	ведь и	2	3
75	и с	9	3
76	о том	2	3
77	нуждается в	2	3
78	в себе	2	3
79	для него	7	3
80	до сих	2	3
81	в пределах	13	3
82	еще не	7	3
83	в поэзии	2	3
84	и для	5	3
85	конечно не	5	3
86	здесь не	4	3
87	с ним	7	3
88	между тем	3	3
89	истории литературы	3	2
90	автора и	2	2
91	уже в	2	2
92	но мы	2	2
93	с его	7	2
94	что и	3	2
95	независимо от	2	2
96	но все	5	2
97	что в	3	2
98	лежит на	2	2
99	вместе с	2	2
100	себя и	4	2
101	в зависимости	4	2
102	в этих	7	2
103	на него	2	2
104	все они	2	2
105	в форме	2	2
106	в своем	6	2
107	в отношении	4	2
108	точку зрения	3	2
109	это не	5	2
110	дело с	4	2
111	влияние на	2	2
112	смысл и	2	2
113	разрыв между	3	2
114	и все	5	2
115	и другие	2	2
116	в особенности	3	2
117	тогда когда	2	2
118	и поэтическое	2	2
119	с одной	5	2
120	те же	2	2
121	на материале	2	2
122	в себя	2	2
123	конечно в	2	2
124	и слово	2	2
125	словом и	8	2
126	с точки	3	2
127	и здесь	2	2
128	его как	2	2
129	сливается с	4	2
130	стороны и	3	2
131	с другими	4	2
132	но это	3	2
133	более того	2	2
134	в данном	2	2
135	но не	6	2
136	нашего сознания	2	2
137	могут быть	7	2
138	еще раз	3	2
139	со словом	5	2
140	кроме того	2	2
141	до конца	17	2
142	она не	6	2
143	в то	4	2
144	одной стороны	5	2
145	может стать	2	2
146	подчеркнуть что	2	2
147	как уже	2	2
148	там где	6	2
149	оно не	8	2
150	идеологического творчества	3	2
151	в чем	3	2
152	как это	3	2
153	к его	2	2
154	контекста в	2	2
155	он не	2	2
156	в основном	4	2
157	известной степени	2	2
158	в его	7	2
159	и потому	7	2
160	из него	2	2
