N	2gram	Propp_Russ_2	Hudozhes
1	в качестве	3	19
2	состоит в	15	16
3	в том	22	15
4	и в	29	15
5	не только	10	15
6	может быть	13	13
7	тогда как	2	13
8	при этом	6	12
9	а в	9	12
10	но не	5	11
11	в этом	11	11
12	представляет собой	2	10
13	как бы	18	10
14	но и	8	10
15	то же	4	10
16	а не	4	10
17	с другой	2	7
18	в отличие	3	7
19	в то	2	7
20	отличие от	3	7
21	но в	5	7
22	что в	22	6
23	в ее	3	6
24	том что	22	6
25	не в	4	6
26	не может	5	6
27	в состав	2	6
28	могут быть	2	5
29	а также	4	5
30	того что	3	5
31	то что	5	5
32	в их	2	5
33	уже не	4	5
34	а на	9	4
35	в этих	3	4
36	не столько	2	4
37	прежде всего	2	4
38	и как	2	4
39	еще не	6	4
40	в своей	2	4
41	в форме	2	4
42	и то	2	4
43	между тем	3	4
44	мы имеем	6	4
45	как это	4	4
46	не менее	2	3
47	это не	5	3
48	как уже	2	3
49	тем не	2	3
50	о чем	4	3
51	далеко не	4	3
52	к нему	4	3
53	так в	2	3
54	таким образом	6	3
55	как и	11	3
56	и что	5	3
57	и для	2	3
58	в таком	4	3
59	их в	4	3
60	потому что	5	3
61	но он	3	3
62	и ее	2	3
63	в данном	6	3
64	его в	8	3
65	в которой	2	3
66	в виду	2	3
67	на этом	3	2
68	жизни в	2	2
69	в них	4	2
70	или даже	3	2
71	об этом	2	2
72	есть в	2	2
73	одна из	11	2
74	в глаза	2	2
75	не принадлежат	2	2
76	одной стороны	2	2
77	во всех	3	2
78	и о	3	2
79	за пределами	2	2
80	к жизни	5	2
81	не все	4	2
82	дело не	2	2
83	но она	2	2
84	как в	7	2
85	а именно	3	2
86	а с	2	2
87	с одной	2	2
88	именно в	4	2
89	все эти	3	2
90	это и	2	2
91	в году	3	2
92	того чтобы	6	2
93	для того	6	2
94	из которых	2	2
95	и по	3	2
96	или в	7	2
97	так же	4	2
98	право на	2	2
99	с другими	3	2
100	и на	6	2
101	одно из	2	2
102	начиная с	2	2
103	в этой	3	2
104	о том	9	2
105	из этого	2	2
