N	2gram	Berdyaev_N_1	Myslijsy
1	потому что	4	33
2	то что	4	29
3	может быть	7	26
4	в том	8	23
5	и в	16	23
6	в этом	7	23
7	и не	11	18
8	что в	9	17
9	как и	7	14
10	в себе	2	14
11	том что	2	12
12	не было	4	12
13	а не	17	12
14	но и	3	11
15	не в	6	11
16	не может	16	11
17	и потому	4	10
18	не только	5	10
19	не есть	3	9
20	мы не	2	8
21	сказать что	3	8
22	о том	4	8
23	но в	2	8
24	с тем	3	7
25	это не	4	7
26	в нем	5	7
27	и что	2	7
28	могут быть	2	7
29	как в	3	7
30	мысли и	2	7
31	мы говорим	2	7
32	с этим	2	7
33	что такое	3	7
34	и к	5	6
35	вместе с	2	6
36	когда мы	2	6
37	так и	2	6
38	и мы	4	5
39	хотя и	2	5
40	все это	5	5
41	не менее	4	5
42	должно быть	4	5
43	а в	2	5
44	есть в	2	5
45	не имеет	4	5
46	думать что	2	4
47	и все	4	4
48	что все	2	4
49	быть может	4	4
50	в истории	3	4
51	того чтобы	2	4
52	хотя бы	2	4
53	так же	2	4
54	в то	2	4
55	и с	2	4
56	и есть	10	3
57	никогда не	6	3
58	в них	4	3
59	человека и	3	3
60	в смысле	2	3
61	но это	6	3
62	не будет	7	3
63	еще не	3	3
64	к тому	3	3
65	все эти	2	3
66	уже не	2	3
67	лишь в	6	3
68	еще до	2	3
69	и на	2	3
70	это есть	7	3
71	нашего времени	2	3
72	не существует	3	2
73	тому как	3	2
74	я не	2	2
75	жизни к	4	2
76	с другой	3	2
77	вопрос о	3	2
78	том и	2	2
79	в ее	3	2
80	по своему	4	2
81	равно как	2	2
82	она не	3	2
83	к ним	3	2
84	в ней	5	2
85	он не	8	2
86	не значит	3	2
87	и это	2	2
88	в мире	3	2
89	можно назвать	2	2
90	конечно не	3	2
91	что она	2	2
92	стремится к	3	2
93	и для	4	2
94	и даже	2	2
95	есть лишь	4	2
96	можно было	2	2
97	духа и	3	2
98	подобно тому	3	2
99	в обществе	2	2
100	мысли в	2	2
101	это было	3	2
102	ни к	2	2
