N	2gram	Vinokur_St_1	Problema
1	и не	16	28
2	то есть	2	27
3	не только	18	24
4	только в	10	23
5	в виде	3	22
6	вовсе не	19	21
7	в том	36	20
8	и в	44	20
9	ни в	3	17
10	все эти	5	16
11	то что	18	15
12	потому что	6	15
13	у нас	11	14
14	было бы	17	14
15	но и	10	14
16	точки зрения	11	14
17	не в	12	13
18	также и	9	13
19	даже и	2	13
20	в себе	2	12
21	том что	29	12
22	прежде всего	7	11
23	с точки	8	11
24	как будто	4	11
25	не менее	5	10
26	тем не	2	10
27	в качестве	4	10
28	не является	3	10
29	так и	9	10
30	и его	8	10
31	при помощи	2	10
32	может быть	15	9
33	все это	5	9
34	и даже	5	9
35	в этом	21	9
36	если бы	9	8
37	что он	10	8
38	таким образом	7	8
39	в той	6	8
40	в результате	3	8
41	во всяком	6	8
42	и все	2	8
43	но в	10	8
44	значит что	3	8
45	с другой	9	7
46	это не	8	7
47	ясно что	10	7
48	есть в	2	7
49	еще не	3	7
50	такого рода	2	7
51	мы не	2	7
52	и потому	2	7
53	и тем	3	7
54	то же	5	7
55	именно в	6	7
56	а не	16	7
57	сказать что	7	7
58	и с	3	7
59	в ней	3	7
60	хотя бы	6	7
61	об этом	3	6
62	всех этих	2	6
63	и без	3	6
64	по крайней	2	6
65	так что	6	6
66	а также	2	6
67	для нас	7	6
68	как и	9	6
69	но это	6	6
70	что здесь	2	6
71	при этом	2	6
72	крайней мере	2	6
73	но если	4	6
74	другой стороны	7	6
75	в таком	3	6
76	в данном	14	6
77	в каком	3	6
78	и вообще	3	6
79	мы имеем	2	6
80	не существует	3	5
81	но не	3	5
82	на самом	6	5
83	в нем	5	5
84	и можно	2	5
85	в ее	4	5
86	да и	3	5
87	случае не	2	5
88	жизни и	5	5
89	данном случае	6	5
90	как в	13	5
91	так же	5	5
92	не может	8	5
93	так как	5	5
94	и очень	4	5
95	и вполне	3	5
96	в этих	2	5
97	ничего общего	3	5
98	о том	17	5
99	уже в	2	4
100	в отношении	9	4
101	в какой	3	4
102	и для	3	4
103	и во	2	4
104	это и	4	4
105	в этой	11	4
106	тем самым	2	4
107	несмотря на	2	4
108	в своей	6	4
109	что она	4	4
110	как бы	4	4
111	всяком случае	6	4
112	тем более	4	4
113	не имеет	4	4
114	и т	30	4
115	во всех	8	4
116	ни с	3	4
117	без всякого	2	4
118	и только	3	4
119	с этим	3	4
120	а в	17	4
121	что не	3	4
122	можно было	13	4
123	как раз	4	4
124	в то	9	4
125	нет ни	2	4
126	и более	2	3
127	медного всадника	2	3
128	можно ли	4	3
129	вообще не	2	3
130	если не	2	3
131	у пушкина	8	3
132	ни на	2	3
133	или иного	4	3
134	все в	2	3
135	он был	3	3
136	для него	6	3
137	но все	4	3
138	в начале	3	3
139	в истории	3	3
140	имеем дело	2	3
141	совершенно не	5	3
142	конечно не	2	3
143	между прочим	2	3
144	вплоть до	5	3
145	же и	4	3
146	в его	9	3
147	то это	3	3
148	что и	6	3
149	что в	30	3
150	дело не	4	3
151	бы и	4	3
152	в своем	2	3
153	т д	21	3
154	не было	4	3
155	еще и	2	3
156	самом деле	11	3
157	для того	10	3
158	что мы	5	3
159	к нему	2	3
160	тем что	5	3
161	из них	8	3
162	в сознании	2	3
163	в другом	3	3
164	того или	4	3
165	а если	2	3
166	как это	4	3
167	в области	14	3
168	как о	2	3
169	в частности	4	2
170	по этому	3	2
171	что во	2	2
172	имеет ничего	2	2
173	для этого	2	2
174	столь же	4	2
175	в конце	3	2
176	была бы	5	2
177	для себя	3	2
178	то в	3	2
179	является не	4	2
180	что они	7	2
181	заключается в	4	2
182	так называемая	3	2
183	то время	2	2
184	говорит что	3	2
185	но именно	2	2
186	со всеми	2	2
187	том как	4	2
188	кажется что	3	2
189	не являются	3	2
190	что это	4	2
191	в самом	7	2
192	общего с	3	2
193	за пределы	2	2
194	свидетельствует о	2	2
195	он не	2	2
196	время как	2	2
197	никто не	4	2
198	в котором	5	2
199	все же	8	2
200	можно назвать	2	2
201	без всякой	3	2
202	говорит о	3	2
203	а именно	3	2
204	и тогда	2	2
205	дело с	2	2
206	лет назад	2	2
207	мы находим	4	2
208	и что	4	2
209	того чтобы	11	2
210	и по	5	2
211	есть только	2	2
212	в других	2	2
213	а то	2	2
214	это можно	3	2
215	говорить о	2	2
216	и то	5	2
217	будто бы	3	2
218	его в	2	2
219	и это	2	2
220	дело в	6	2
221	том смысле	2	2
222	в чем	3	2
223	в которой	4	2
224	того же	3	2
225	еще более	4	2
