N	2gram	Losev_Vesc_1	Analitik
1	в этом	4	18
2	и в	21	16
3	не только	36	16
4	так и	3	15
5	как и	8	14
6	в том	8	12
7	но и	18	12
8	и не	29	12
9	том что	8	12
10	как бы	12	10
11	а не	19	10
12	и даже	6	9
13	в этой	3	9
14	ничего не	3	9
15	в данном	5	8
16	отнюдь не	5	8
17	не случайно	2	8
18	к тому	3	7
19	в себе	14	7
20	то что	27	7
21	о том	6	7
22	с другой	6	6
23	в самом	9	6
24	говорить о	6	6
25	может быть	16	6
26	как это	2	6
27	но в	5	6
28	данном случае	2	5
29	с одной	3	5
30	не менее	3	4
31	только не	2	4
32	в своем	6	4
33	в конце	2	4
34	можно сказать	6	4
35	у него	2	4
36	уже не	9	4
37	не в	5	4
38	но не	5	4
39	того же	5	4
40	для него	4	4
41	одной стороны	3	4
42	в сущности	4	4
43	по преимуществу	2	4
44	и тем	3	4
45	не с	7	4
46	во всех	2	4
47	все это	5	4
48	как раз	9	4
49	не может	17	4
50	на этом	2	4
51	и его	2	4
52	то же	6	4
53	хотя и	4	4
54	точки зрения	5	4
55	только в	14	4
56	в себя	13	4
57	содержит в	4	3
58	никогда не	2	3
59	по крайней	4	3
60	прежде всего	9	3
61	что на	2	3
62	тем не	3	3
63	так что	5	3
64	с самим	4	3
65	имеем дело	3	3
66	было бы	14	3
67	в действительности	7	3
68	крайней мере	4	3
69	и если	2	3
70	со своим	7	3
71	мы имеем	7	3
72	или в	2	3
73	той или	2	3
74	что и	3	3
75	из них	4	3
76	в первой	2	3
77	со стороны	5	3
78	только на	3	3
79	если бы	5	3
80	можно было	2	3
81	а в	4	3
82	как мы	4	3
83	тому как	4	3
84	с ними	3	3
85	и то	10	3
86	в результате	3	3
87	тем что	2	3
88	подобно тому	4	3
89	я в	2	3
90	сводится к	2	3
91	бы в	5	3
92	я и	6	3
93	и все	5	3
94	того что	8	2
95	была бы	2	2
96	вообще не	2	2
97	может ли	2	2
98	в одном	2	2
99	что все	2	2
100	вовсе не	10	2
101	по себе	13	2
102	на то	4	2
103	а затем	2	2
104	по существу	2	2
105	из его	2	2
106	что в	9	2
107	она не	4	2
108	еще не	8	2
109	ведь и	5	2
110	в своей	5	2
111	ни с	6	2
112	в котором	3	2
113	себе не	3	2
114	для нее	2	2
115	один из	3	2
116	не есть	49	2
117	с ее	6	2
118	себя в	10	2
119	и их	7	2
120	дело не	2	2
121	это именно	3	2
122	что она	15	2
123	другой стороны	2	2
124	вообще и	4	2
125	собственно говоря	4	2
126	таким образом	8	2
127	той же	2	2
128	т е	55	2
129	еще более	2	2
130	того и	2	2
131	тех или	5	2
132	свидетельствует о	3	2
133	и для	9	2
134	с точки	3	2
135	никак не	3	2
136	и во	3	2
137	в то	3	2
138	в его	2	2
139	его в	2	2
140	сказать что	17	2
141	с ним	8	2
