N	2gram	Bakhtin_Fr_4	Psycholo
1	то что	4	44
2	и в	29	33
3	в этом	11	28
4	как бы	8	25
5	все время	3	24
6	для того	3	23
7	может быть	2	22
8	том что	3	22
9	того чтобы	3	22
10	в том	7	21
11	о том	2	20
12	что он	4	20
13	и мы	2	15
14	что это	5	13
15	таким образом	20	13
16	и не	16	13
17	так же	7	13
18	сказать что	5	13
19	то есть	21	13
20	все это	4	13
21	к тому	2	12
22	и все	13	12
23	так как	7	12
24	он не	3	11
25	не может	2	10
26	в его	8	10
27	в этой	13	9
28	как раз	2	9
29	то же	10	9
30	в конце	9	8
31	как будто	2	8
32	в своем	3	7
33	до конца	5	7
34	в нем	5	7
35	раз в	2	7
36	не только	10	7
37	перед нами	4	6
38	это не	5	6
39	что они	2	6
40	в ней	3	6
41	после этого	2	6
42	все эти	9	6
43	и вот	3	6
44	но он	6	6
45	точки зрения	4	6
46	во время	10	6
47	как на	2	6
48	у него	5	6
49	мы видим	3	6
50	в сущности	6	6
51	на самом	4	6
52	в себе	3	6
53	самого начала	3	5
54	никогда не	2	5
55	с самого	3	5
56	и как	3	5
57	и на	11	5
58	вовсе не	9	5
59	как он	2	5
60	с ним	2	5
61	мы можем	3	5
62	это и	5	5
63	как и	12	5
64	мы уже	10	5
65	и его	8	5
66	все же	3	5
67	и это	2	5
68	из этого	2	5
69	и есть	4	4
70	в частности	3	4
71	что у	3	4
72	это в	2	4
73	из них	6	4
74	жизни и	4	4
75	и других	3	4
76	того что	3	4
77	и так	3	4
78	в жизни	2	4
79	к этому	2	4
80	и о	5	4
81	себя в	2	4
82	в своей	5	4
83	как мы	10	4
84	с точки	2	4
85	той же	3	4
86	жизнь и	4	4
87	только в	2	4
88	в которой	4	4
89	в основу	2	3
90	с одной	2	3
91	ни в	2	3
92	тот же	3	3
93	на этом	2	3
94	одной стороны	2	3
95	с ее	3	3
96	и за	3	3
97	но и	9	3
98	и до	5	3
99	конечно не	4	3
100	эпизод с	2	3
101	в своих	2	3
102	их в	2	3
103	все события	2	3
104	и здесь	3	3
105	в то	10	3
106	его в	9	3
107	в основе	2	3
108	вот как	2	3
109	всех этих	3	3
110	но не	2	3
111	здесь в	6	3
112	конце концов	4	3
113	так и	11	3
114	как в	2	3
115	да и	2	3
116	и для	2	3
117	тем что	4	3
118	короля и	3	3
119	еще раз	2	3
120	далеко не	5	3
121	в той	2	3
122	место в	2	2
123	уже в	2	2
124	его и	2	2
125	с другой	4	2
126	в одной	2	2
127	прежде всего	8	2
128	такой же	3	2
129	времени и	2	2
130	же время	8	2
131	при этом	3	2
132	о браке	2	2
133	некоторые из	3	2
134	и дает	2	2
135	в виду	2	2
136	все те	2	2
137	в котором	2	2
138	один из	4	2
139	но мы	2	2
140	все они	5	2
141	в их	2	2
142	другой стороны	3	2
143	именно в	2	2
144	образом в	3	2
145	и наконец	2	2
146	в результате	4	2
147	и с	9	2
148	и первый	2	2
149	также и	4	2
150	почти все	3	2
151	бы не	2	2
152	но в	12	2
153	а как	2	2
154	с его	4	2
155	в них	7	2
156	и к	2	2
157	в ее	3	2
158	мы увидим	2	2
159	которую он	4	2
160	с таким	2	2
161	всего романа	2	2
162	со стороны	2	2
163	не на	2	2
164	в словах	2	2
165	то время	2	2
166	и эта	2	2
167	тому как	3	2
168	и то	2	2
169	в вино	3	2
170	связи с	2	2
