N	2gram	Trubetskoy_1	Tvorches
1	и в	14	21
2	как бы	4	17
3	в то	10	15
4	в его	4	13
5	то же	11	13
6	что в	4	12
7	как и	4	12
8	же время	10	12
9	том что	9	11
10	все это	6	10
11	он не	5	8
12	то что	13	8
13	у него	2	7
14	в том	17	7
15	тем самым	2	7
16	при этом	5	7
17	не только	9	7
18	и не	19	7
19	и на	5	7
20	но в	2	7
21	он сам	3	6
22	что он	6	6
23	жизни в	5	6
24	для него	6	6
25	в котором	2	6
26	а в	5	6
27	в этом	17	6
28	о том	7	6
29	отнюдь не	7	5
30	а не	2	5
31	но это	2	5
32	может быть	9	5
33	в этой	4	5
34	все же	4	5
35	таким образом	11	5
36	хотя бы	5	5
37	в своих	6	5
38	потому что	5	5
39	как будто	2	5
40	только в	5	5
41	в своем	6	4
42	прежде всего	8	4
43	в мире	4	4
44	и как	3	4
45	из всех	2	4
46	одной из	3	4
47	в своей	5	4
48	не может	22	4
49	самим собой	12	4
50	и от	2	4
51	на эту	2	4
52	место в	2	3
53	никогда не	5	3
54	что все	3	3
55	это в	2	3
56	с ним	2	3
57	но не	4	3
58	в самом	3	3
59	но если	3	3
60	в нем	5	3
61	и т	3	3
62	жизни и	4	3
63	время в	2	3
64	но и	10	3
65	ее в	2	3
66	в их	4	3
67	уже не	2	3
68	на земле	4	3
69	на самом	6	3
70	того что	3	3
71	и даже	2	3
72	не так	2	3
73	и по	3	3
74	так же	2	3
75	и с	7	3
76	в виде	3	3
77	в россии	6	3
78	приходит к	3	3
79	так как	4	3
80	может не	3	2
81	зависит от	2	2
82	в россию	2	2
83	в частности	2	2
84	в этих	2	2
85	на том	3	2
86	в качестве	3	2
87	точно так	2	2
88	стремление к	7	2
89	что и	3	2
90	во главе	2	2
91	так что	2	2
92	не в	4	2
93	то в	3	2
94	одна из	3	2
95	ибо в	3	2
96	из них	3	2
97	к тому	7	2
98	только на	2	2
99	себя как	2	2
100	по самому	2	2
101	в ней	2	2
102	если в	6	2
103	и тем	2	2
104	не будет	7	2
105	стремления к	2	2
106	вместе с	4	2
107	но она	2	2
108	данном случае	3	2
109	приводит к	4	2
110	вряд ли	3	2
111	что для	3	2
112	именно в	3	2
113	самом деле	7	2
114	и наконец	2	2
115	за то	2	2
116	отказаться от	4	2
117	или в	3	2
118	людей и	2	2
119	больше чем	2	2
120	во имя	5	2
121	в данном	7	2
122	в себе	9	2
123	о котором	3	2
124	и человек	2	2
125	настоящее время	2	2
