N	2gram	Berdyaev_M_2	Analitik
1	может быть	21	29
2	в том	3	27
3	не может	15	22
4	и не	18	21
5	и в	46	18
6	а не	13	17
7	но и	15	17
8	не только	18	15
9	не в	9	14
10	как и	13	13
11	в его	5	13
12	в этом	20	13
13	том что	4	12
14	в себе	10	11
15	то же	5	9
16	а в	2	9
17	в мире	7	8
18	есть не	5	8
19	не есть	13	8
20	но в	10	8
21	к тому	5	7
22	это не	5	6
23	прежде всего	12	6
24	или иной	2	6
25	в самом	5	6
26	в сущности	2	6
27	себя в	4	6
28	должен быть	4	6
29	то что	5	6
30	в своей	5	6
31	по отношению	2	6
32	в основе	2	6
33	точки зрения	2	6
34	по своей	3	6
35	только в	3	6
36	я и	2	6
37	в этой	7	5
38	что в	4	5
39	такого рода	2	5
40	как бы	8	5
41	отношению к	2	5
42	лишь в	2	5
43	и его	5	5
44	между тем	2	5
45	и на	3	5
46	что иное	3	5
47	о том	3	5
48	иное как	3	5
49	того что	6	4
50	себя и	3	4
51	не всегда	2	4
52	по себе	2	4
53	не что	3	4
54	ни в	3	4
55	для того	5	4
56	вместе с	2	4
57	так и	4	4
58	уже не	4	4
59	более чем	2	4
60	с другим	3	4
61	с ним	3	4
62	человека к	8	4
63	место в	2	3
64	с его	4	3
65	человек в	3	3
66	и есть	8	3
67	в нашем	7	3
68	хотя бы	7	3
69	и все	5	3
70	личности в	2	3
71	в нем	22	3
72	и к	7	3
73	что он	7	3
74	означает что	4	3
75	что не	2	3
76	он не	10	3
77	что и	4	3
78	не будет	3	3
79	это означает	2	3
80	того чтобы	4	3
81	к нему	2	3
82	ведет к	13	3
83	тому как	2	3
84	не случайно	2	3
85	подобно тому	2	3
86	как будто	2	3
87	вопроса о	4	3
88	как он	3	3
89	если бы	3	3
90	другого в	2	3
91	быть может	2	2
92	на все	3	2
93	никогда не	18	2
94	для этого	4	2
95	тогда когда	2	2
96	вопрос о	6	2
97	то в	2	2
98	и потому	7	2
99	должно быть	2	2
100	отношение к	8	2
101	для него	18	2
102	мысль о	2	2
103	себе в	2	2
104	на его	2	2
105	для чего	3	2
106	и та	2	2
107	не могу	6	2
108	она есть	2	2
109	не о	2	2
110	и самого	3	2
111	еще в	2	2
112	один из	5	2
113	не к	2	2
114	что же	2	2
115	личности к	2	2
116	и тогда	3	2
117	как к	2	2
118	на этом	2	2
119	бы не	2	2
120	отношения к	2	2
121	той же	3	2
122	то он	2	2
123	также и	4	2
124	которые в	2	2
125	нет ничего	3	2
126	так как	8	2
127	думать что	4	2
128	потому что	12	2
129	в которой	2	2
130	и с	3	2
