N	2gram	Potebnia_M_2	Tvorches
1	и в	24	21
2	как бы	9	17
3	в то	6	15
4	в его	2	13
5	то же	12	13
6	что в	16	12
7	как и	7	12
8	же время	2	12
9	то есть	30	12
10	с его	2	11
11	том что	8	11
12	все это	2	10
13	как в	10	8
14	то что	20	8
15	у него	2	7
16	в свою	6	7
17	в том	18	7
18	тем самым	4	7
19	при этом	13	7
20	не только	15	7
21	и не	19	7
22	и на	8	7
23	но в	4	7
24	что он	4	6
25	и все	3	6
26	не менее	5	6
27	для него	10	6
28	в котором	4	6
29	человека в	3	6
30	а в	8	6
31	и его	2	6
32	в этом	8	6
33	о том	5	6
34	вовсе не	9	5
35	а не	18	5
36	но это	3	5
37	может быть	23	5
38	все же	5	5
39	таким образом	11	5
40	хотя бы	2	5
41	потому что	49	5
42	только в	11	5
43	в человеке	4	4
44	человека и	3	4
45	прежде всего	7	4
46	и как	6	4
47	в целом	3	4
48	не имеют	2	4
49	один из	2	4
50	не может	12	4
51	это не	3	4
52	и от	3	4
53	место в	4	3
54	уже в	5	3
55	самого начала	2	3
56	никогда не	4	3
57	с другой	6	3
58	что все	2	3
59	в каждом	2	3
60	с ним	5	3
61	с самого	2	3
62	но не	12	3
63	в самом	4	3
64	той же	3	3
65	но если	2	3
66	в нем	9	3
67	и т	6	3
68	но и	9	3
69	во времени	2	3
70	уже не	4	3
71	и других	2	3
72	на самом	2	3
73	того что	7	3
74	не так	3	3
75	и по	2	3
76	так же	2	3
77	в которой	5	3
78	хотя и	3	3
79	далеко не	3	3
80	так как	10	3
81	такой же	4	2
82	зависит от	2	2
83	в этих	3	2
84	не столько	2	2
85	по крайней	5	2
86	в пространстве	2	2
87	точно так	9	2
88	стремление к	2	2
89	в жизни	2	2
90	к этому	2	2
91	есть не	5	2
92	что и	11	2
93	влияние на	4	2
94	крайней мере	5	2
95	что его	3	2
96	так что	10	2
97	не в	13	2
98	отношений между	3	2
99	быть может	7	2
100	одна из	4	2
101	того же	14	2
102	было в	2	2
103	в нашей	2	2
104	тот же	5	2
105	мысль о	7	2
106	из них	5	2
107	в ней	3	2
108	к ней	2	2
109	из себя	2	2
110	если в	3	2
111	себе не	4	2
112	и тем	3	2
113	тем не	6	2
114	вместе с	11	2
115	но она	3	2
116	так и	5	2
117	вслед за	3	2
118	вряд ли	3	2
119	не во	2	2
120	что для	3	2
121	и того	6	2
122	в себя	2	2
123	мы находим	2	2
124	что она	3	2
125	но только	2	2
126	в одно	8	2
127	самом деле	2	2
128	что не	5	2
129	и у	3	2
130	и притом	3	2
131	только что	3	2
132	или в	2	2
133	сказать что	2	2
134	могут быть	8	2
135	но он	2	2
136	в себе	10	2
137	т п	3	2
138	о котором	2	2
139	и человек	3	2
140	так сказать	4	2
141	в чем	7	2
142	с каким	2	2
143	на деле	3	2
144	не то	2	2
