N	2gram	Berdyaev_O_1	Russkaja
1	не может	4	22
2	и не	13	19
3	в том	5	17
4	в этом	12	17
5	и в	19	14
6	то что	5	13
7	но и	13	10
8	том что	2	9
9	не только	11	9
10	в себе	3	9
11	может быть	11	9
12	прежде всего	9	8
13	того чтобы	4	8
14	россии в	2	7
15	о том	3	7
16	и с	2	7
17	что он	3	6
18	и к	2	6
19	с тем	2	6
20	для него	5	6
21	для того	3	6
22	все это	6	6
23	в своем	2	6
24	и для	2	6
25	в своих	3	6
26	в россии	5	6
27	жизни в	2	5
28	хотя бы	3	5
29	вопрос о	10	5
30	и на	2	5
31	было бы	3	5
32	в своей	2	5
33	он не	7	5
34	никогда не	9	5
35	в нем	10	5
36	а в	5	5
37	потому что	9	5
38	во имя	3	5
39	не могут	3	4
40	что в	4	4
41	как и	6	4
42	все что	3	4
43	как бы	3	4
44	все же	2	4
45	что же	2	4
46	на земле	4	4
47	не в	11	4
48	и то	2	4
49	в этой	5	4
50	в его	7	4
51	его в	2	4
52	так как	2	4
53	к этой	2	4
54	он сам	4	3
55	можно ли	2	3
56	что все	2	3
57	в другом	2	3
58	лишь в	7	3
59	что они	2	3
60	должно быть	2	3
61	еще не	3	3
62	в самом	5	3
63	и потому	2	3
64	что и	2	3
65	не есть	2	3
66	не было	9	3
67	того что	3	3
68	ко всем	2	3
69	что для	2	3
70	тем что	2	3
71	и ни	2	3
72	любовь к	2	2
73	и есть	3	2
74	у него	22	2
75	и от	3	2
76	их не	2	2
77	по себе	2	2
78	так что	2	2
79	от него	7	2
80	разных сторон	2	2
81	и о	2	2
82	ее в	2	2
83	все эти	4	2
84	и вот	3	2
85	а не	11	2
86	к нему	3	2
87	в других	2	2
88	даже и	2	2
89	в этих	3	2
90	с ним	3	2
91	но в	2	2
