N	3gram	Vinokur_Vv_1	Formalny
1	в связи с	2	10
2	не может быть	8	10
3	и т п	5	9
4	с точки зрения	2	7
5	в этом отношении	3	7
6	то же время	5	5
7	и в этом	3	5
8	в самом деле	5	5
9	в то же	5	5
10	и т д	37	5
11	с тем что	3	5
12	языка и его	2	5
13	во всяком случае	3	5
14	не могут быть	2	4
15	как мы видели	2	4
16	вместе с тем	3	4
17	с другой стороны	5	3
18	может быть и	2	3
19	не в том	2	3
20	для того чтобы	21	3
21	в отличие от	3	2
22	в конце концов	2	2
23	в применении к	6	2
24	в этом смысле	10	2
25	в том что	12	2
26	но все же	3	2
27	что в нем	2	2
