N	2gram	Tiupa_Narr_1	formyVre
1	и в	19	50
2	то есть	19	33
3	в этом	17	25
4	в нем	4	24
5	человека в	2	17
6	и его	5	16
7	в литературе	2	16
8	прежде всего	4	15
9	и не	20	14
10	как мы	3	14
11	как раз	2	13
12	в его	9	13
13	по существу	2	12
14	так и	9	12
15	может быть	25	11
16	то же	4	11
17	и как	5	10
18	времени и	7	10
19	но в	6	10
20	в том	18	9
21	же время	4	9
22	и др	2	9
23	в особенности	4	9
24	все эти	2	9
25	в то	3	9
26	не только	32	9
27	с его	6	9
28	роль в	2	9
29	ничего не	2	9
30	его жизни	2	8
31	но и	23	8
32	и на	3	8
33	жизни в	3	8
34	как и	7	8
35	жизни и	3	8
36	ни в	3	8
37	не было	2	7
38	времени в	2	7
39	героя и	4	7
40	все же	7	6
41	в частности	14	6
42	это не	2	6
43	например в	2	6
44	с ее	3	6
45	не может	10	6
46	так же	2	6
47	в результате	2	6
48	у него	4	6
49	и все	2	6
50	связи с	4	6
51	то что	11	6
52	время в	2	6
53	в ее	3	6
54	как в	7	6
55	между двумя	5	6
56	что в	3	5
57	не в	14	5
58	в пределах	2	5
59	и до	2	5
60	в связи	2	5
61	в основе	5	5
62	точки зрения	10	5
63	но все	4	5
64	отнюдь не	5	5
65	в пространстве	4	5
66	но не	5	5
67	еще не	7	5
68	наряду с	2	5
69	он не	3	5
70	не могло	2	5
71	отношению к	6	5
72	могут быть	3	5
73	жизни но	2	5
74	том числе	6	4
75	в своем	2	4
76	не имеет	2	4
77	и с	4	4
78	в ней	3	4
79	к себе	5	4
80	между собой	2	4
81	в присутствии	3	4
82	и т.п	8	4
83	в той	6	4
84	том что	14	4
85	и для	2	4
86	только в	4	4
87	здесь не	4	4
88	себя и	2	3
89	к тому	7	3
90	да и	4	3
91	при этом	9	3
92	имеет место	4	3
93	хотя и	3	3
94	мира в	5	3
95	один из	3	3
96	в форме	5	3
97	по отношению	7	3
98	отношения к	2	3
99	этом отношении	3	3
100	с одной	7	3
101	именно в	6	3
102	в классическом	2	3
103	они не	2	3
104	а в	11	3
105	сказать что	4	3
106	одно из	2	3
107	его в	2	3
108	же в	4	3
109	в качестве	21	3
110	одной из	4	3
111	в сущности	3	3
112	и потому	2	3
113	во всей	2	3
114	во времени	8	3
115	а не	12	3
116	что не	4	3
117	между ними	2	3
118	в таком	2	3
119	или в	2	3
120	совершенно иной	2	3
121	и ее	2	3
122	в себе	8	3
123	уже в	3	2
124	же как	3	2
125	никогда не	3	2
126	о своей	2	2
127	точку зрения	4	2
128	с другой	8	2
129	не обязательно	3	2
130	или иной	5	2
131	тому же	5	2
132	есть в	2	2
133	числе и	4	2
134	в свою	3	2
135	для него	2	2
136	одной стороны	7	2
137	не о	3	2
138	отношение к	2	2
139	эпизоды в	2	2
140	те же	4	2
141	во втором	4	2
142	и даже	3	2
143	той или	4	2
144	что мы	2	2
145	все то	2	2
146	не является	8	2
147	к другому	2	2
148	здесь и	2	2
149	не как	2	2
150	другой день	2	2
151	по себе	5	2
152	одна из	3	2
153	на другой	2	2
154	было бы	4	2
155	не являются	2	2
156	а также	7	2
157	нет и	2	2
158	оно не	2	2
159	как бы	4	2
160	даже не	3	2
161	совершенно не	2	2
162	в отличие	5	2
163	уже не	5	2
164	в значительной	2	2
165	с точки	2	2
166	хотя бы	4	2
167	в данном	5	2
168	тем что	3	2
169	всей его	2	2
170	на себя	3	2
171	здесь совершенно	2	2
172	далеко не	5	2
173	отличие от	5	2
