N	2gram	Propp_Isto_1	Psycholo
1	в том	9	37
2	и в	28	32
3	и что	10	22
4	том что	7	21
5	то что	9	21
6	таким образом	8	21
7	потому что	4	21
8	что в	12	20
9	так же	7	18
10	может быть	25	18
11	что и	6	17
12	не может	15	17
13	что она	5	16
14	что он	10	13
15	при этом	3	13
16	то же	12	13
17	в этом	8	13
18	по себе	3	12
19	если мы	3	12
20	не только	12	12
21	так как	6	12
22	на то	4	11
23	с тем	4	11
24	было бы	7	11
25	в основе	4	11
26	при помощи	2	10
27	как и	4	10
28	и т	25	10
29	когда он	6	10
30	но и	10	10
31	и не	9	10
32	никогда не	14	9
33	как в	2	9
34	тем что	3	9
35	что это	8	8
36	не менее	6	8
37	не в	9	8
38	дело с	2	8
39	того что	4	8
40	к тому	6	7
41	ясно что	2	7
42	мы знаем	4	7
43	и как	2	7
44	а не	15	7
45	все эти	4	7
46	можно было	5	7
47	и его	3	7
48	сказать что	5	7
49	как будто	4	7
50	только в	11	7
51	что они	5	7
52	в этой	6	6
53	тот же	2	6
54	и мы	2	6
55	он не	2	6
56	как бы	2	6
57	же самое	3	6
58	что если	2	6
59	о том	9	6
60	если бы	8	6
61	только из	2	5
62	вслед за	6	5
63	в ней	7	5
64	до сих	5	5
65	исходит из	3	5
66	сих пор	5	5
67	все это	4	5
68	как раз	2	5
69	и даже	4	5
70	есть только	3	5
71	и на	4	5
72	в то	3	5
73	же как	2	4
74	столь же	2	4
75	утверждать что	3	4
76	тем не	6	4
77	как это	3	4
78	в действительности	2	4
79	из этого	2	4
80	и когда	2	4
81	и по	3	4
82	и тем	2	4
83	в нем	2	4
84	все же	10	4
85	с той	2	4
86	из них	3	4
87	наряду с	3	4
88	а в	7	4
89	мы имеем	13	4
90	мы видим	11	4
91	и для	4	4
92	и с	4	4
93	могут быть	4	4
94	с этим	4	4
95	в целом	2	4
96	которые в	2	4
97	ничего не	2	4
98	того как	3	4
99	между тем	2	4
100	не могут	2	3
101	в частности	2	3
102	для этого	3	3
103	хотя бы	4	3
104	с другой	6	3
105	не как	3	3
106	точно так	3	3
107	показывает что	3	3
108	указывает на	2	3
109	а только	2	3
110	видим что	9	3
111	по существу	5	3
112	об этом	4	3
113	так что	4	3
114	мы в	2	3
115	например в	5	3
116	на это	2	3
117	относится к	2	3
118	один из	4	3
119	то это	3	3
120	так и	9	3
121	во всех	2	3
122	том чтобы	2	3
123	и их	3	3
124	были бы	2	3
125	в их	3	3
126	что же	3	3
127	на этом	3	3
128	этот вопрос	7	3
129	и вот	2	3
130	время как	3	3
131	что не	2	3
132	в конечном	2	3
133	должны быть	4	3
134	и он	3	3
135	отказаться от	2	3
136	то время	3	3
137	он в	2	3
138	само по	2	3
139	во всем	3	3
140	мы должны	13	3
141	тогда когда	2	3
142	но в	8	3
143	мы не	10	3
144	это было	2	3
145	не существует	2	2
146	на вопрос	2	2
147	зависит от	2	2
148	мы будем	5	2
149	однако не	2	2
150	мы получим	2	2
151	материала и	2	2
152	то ни	2	2
153	в какой	3	2
154	но так	2	2
155	это не	7	2
156	и от	2	2
157	точка зрения	2	2
158	из всех	2	2
159	в одном	5	2
160	была бы	2	2
161	и эти	3	2
162	и здесь	7	2
163	говорит о	2	2
164	вывод что	2	2
165	еще не	7	2
166	но не	5	2
167	и часто	2	2
168	и тот	2	2
169	действия и	3	2
170	из которых	3	2
171	вовсе не	2	2
172	должен был	3	2
173	к ним	4	2
174	в его	5	2
175	не вполне	2	2
176	в ее	2	2
177	том как	2	2
178	не так	2	2
179	как он	2	2
180	бы то	2	2
181	в этих	7	2
182	для нас	13	2
183	вместе с	6	2
184	на него	4	2
185	значение и	2	2
186	так в	4	2
187	не на	2	2
188	другой стороны	5	2
189	в особенности	2	2
190	показывают что	5	2
191	т д	22	2
192	а с	2	2
193	к своему	2	2
194	здесь мы	7	2
195	именно на	2	2
196	и другое	2	2
197	на этот	2	2
198	надо сказать	3	2
199	в очень	2	2
200	ли он	3	2
201	самое что	2	2
202	отличие от	2	2
203	увидим что	5	2
204	что этот	2	2
205	но это	4	2
206	также и	3	2
207	их в	5	2
208	в себе	2	2
209	и только	2	2
210	может оказаться	3	2
211	могли бы	3	2
212	с того	3	2
213	в свете	2	2
214	ответ на	2	2
215	это происходит	2	2
216	там где	4	2
217	когда мы	2	2
218	к которому	5	2
