N	2gram	Kanaev_Sov_1	KulturaY
1	в том	4	30
2	и в	7	24
3	что в	2	17
4	и пр	2	15
5	было бы	3	15
6	в этом	7	14
7	точки зрения	12	14
8	может быть	12	13
9	все же	3	12
10	таким образом	11	12
11	в его	2	12
12	и не	6	12
13	не в	3	11
14	в самом	2	10
15	у нас	3	10
16	не только	4	10
17	прежде всего	5	9
18	самом деле	2	9
19	с точки	5	9
20	так как	4	9
21	то же	3	8
22	уже не	2	8
23	а не	3	8
24	не менее	2	7
25	как бы	4	7
26	вместе с	4	7
27	не может	17	7
28	с помощью	4	7
29	это не	4	7
30	в области	3	7
31	зависимости от	4	6
32	при этом	3	6
33	что такое	2	6
34	что же	5	6
35	все это	3	6
36	все эти	5	6
37	в которой	2	6
38	что это	2	5
39	в зависимости	4	5
40	еще не	3	5
41	всяком случае	2	5
42	и что	2	5
43	а в	4	5
44	в результате	6	5
45	во всяком	2	5
46	так сказать	2	5
47	и потому	3	4
48	в нем	3	4
49	из них	4	4
50	тем не	2	4
51	в целом	4	4
52	с этим	2	4
53	в науке	2	4
54	роль в	2	4
55	из этих	2	4
56	уже в	3	3
57	ясно что	3	3
58	из одного	2	3
59	или иной	2	3
60	в первом	3	3
61	в этой	3	3
62	свою очередь	2	3
63	в свою	2	3
64	на его	2	3
65	что она	3	3
66	в системе	3	3
67	и даже	2	3
68	в таком	2	3
69	той же	2	3
70	в себе	3	3
71	в одном	3	3
72	возможность и	2	2
73	и есть	2	2
74	и все	3	2
75	что все	2	2
76	в каждом	8	2
77	не могут	2	2
78	вопрос о	4	2
79	если мы	4	2
80	для нас	3	2
81	как и	6	2
82	но все	2	2
83	а на	2	2
84	тот же	2	2
85	и мы	3	2
86	все те	2	2
87	и именно	2	2
88	то и	2	2
89	на этот	2	2
90	когда мы	3	2
91	может иметь	2	2
92	ничего не	6	2
93	но в	3	2
