N	2gram	Tiupa_Hudo_2	Vladivir
1	и в	28	30
2	то что	6	20
3	в этом	13	20
4	у него	5	19
5	в том	15	18
6	и не	18	18
7	и с	6	14
8	что он	8	13
9	том что	19	12
10	что в	5	12
11	не только	11	12
12	в его	11	11
13	а в	6	11
14	как мы	2	11
15	сказать что	2	11
16	а также	2	10
17	не было	6	10
18	не в	13	9
19	для него	5	9
20	было бы	3	9
21	все же	2	9
22	потому что	2	9
23	не может	4	9
24	в то	6	9
25	в своем	5	8
26	вместе с	2	8
27	но и	9	8
28	что же	2	8
29	но в	2	8
30	не менее	5	7
31	никогда не	5	7
32	точки зрения	2	7
33	и все	7	7
34	может быть	8	7
35	для нас	3	7
36	а не	14	7
37	как это	7	7
38	еще и	2	6
39	прежде всего	3	6
40	и к	2	6
41	об этом	7	6
42	тем не	4	6
43	только в	4	6
44	его жизни	5	6
45	в себе	9	6
46	жизни и	6	6
47	и его	5	6
48	о чем	8	6
49	и то	2	5
50	о его	2	5
51	как и	11	5
52	то в	4	5
53	при этом	11	5
54	в своей	6	5
55	он уже	2	5
56	как бы	5	5
57	в котором	6	5
58	для себя	6	5
59	так и	8	5
60	все это	3	5
61	с ним	7	5
62	с его	5	4
63	именно в	2	4
64	в это	3	4
65	я не	7	4
66	вовсе не	2	4
67	его в	2	4
68	можно сказать	6	4
69	мы знаем	2	4
70	в этой	5	4
71	мы с	3	4
72	что это	5	4
73	несмотря на	3	4
74	и о	4	4
75	в ней	3	4
76	он не	4	4
77	в нем	3	4
78	в этих	3	4
79	н я	2	4
80	со стороны	3	4
81	то же	6	4
82	и он	3	4
83	так же	3	4
84	той же	2	4
85	по поводу	3	4
86	и на	3	4
87	о том	12	4
88	здесь не	2	4
89	мы читаем	2	4
90	отношение к	2	4
91	это было	2	4
92	в них	3	3
93	хотя бы	2	3
94	едва ли	3	3
95	из этих	2	3
96	же время	4	3
97	что и	4	3
98	да и	5	3
99	своей жизни	4	3
100	что я	2	3
101	но не	4	3
102	в данном	2	3
103	и для	2	3
104	вот и	5	3
105	с точки	2	3
106	как в	5	3
107	те же	2	3
108	уже не	10	3
109	не столько	2	3
110	в виде	2	3
111	к ней	2	3
112	и это	3	3
113	нет ничего	2	3
114	как у	2	2
115	к нему	3	2
116	разговора о	2	2
117	он сам	2	2
118	жизни с	2	2
119	казалось бы	6	2
120	однако в	2	2
121	со своей	2	2
122	жизни в	7	2
123	а за	2	2
124	это не	6	2
125	и от	2	2
126	себе в	2	2
127	к той	2	2
128	у вас	4	2
129	к тому	7	2
130	ему в	2	2
131	ли он	2	2
132	на этом	2	2
133	есть и	3	2
134	но тем	2	2
135	она не	5	2
136	и сам	5	2
137	во второй	2	2
138	о своем	4	2
139	бы с	2	2
140	мы уже	3	2
141	не могла	5	2
142	в самом	5	2
143	во сне	3	2
144	не могу	3	2
145	нам представляется	2	2
146	в частности	7	2
147	ни с	2	2
148	же и	2	2
149	о нем	2	2
150	отношениях с	2	2
151	для того	4	2
152	будто бы	3	2
153	к числу	2	2
154	гораздо более	2	2
155	людей в	2	2
156	себя в	8	2
157	наряду с	5	2
158	ее на	2	2
159	его и	2	2
160	данном случае	2	2
161	который был	2	2
162	того как	2	2
163	в двух	2	2
164	того чтобы	4	2
165	что не	2	2
166	перед смертью	2	2
167	можно было	3	2
168	приходит к	2	2
169	мысли и	2	2
170	у которого	2	2
171	а вот	2	2
172	как будто	4	2
173	как он	3	2
174	ничего не	5	2
175	я и	6	2
