N	2gram	Vinokur_Ku_3	KFilosof
1	может быть	14	43
2	в его	11	39
3	не может	6	27
4	и не	10	26
5	по отношению	3	25
6	и в	23	22
7	в котором	2	21
8	отношению к	2	21
9	для меня	2	20
10	не есть	3	19
11	в ее	4	17
12	а не	11	17
13	только в	6	16
14	точки зрения	23	13
15	в этом	16	13
16	ни в	3	12
17	но не	3	12
18	все эти	7	11
19	в своей	4	11
20	не в	5	11
21	в своем	4	10
22	это не	3	10
23	все это	2	10
24	с точки	16	10
25	и есть	5	9
26	в целом	4	9
27	но и	3	9
28	в их	6	9
29	как бы	5	9
30	не было	4	8
31	лишь в	8	8
32	если бы	8	8
33	было бы	16	8
34	и здесь	2	7
35	вовсе не	5	7
36	конечно не	2	7
37	что и	6	7
38	то что	4	7
39	я не	5	6
40	и я	2	6
41	в том	22	6
42	но это	5	6
43	отношение к	3	6
44	смысл и	2	6
45	и только	3	6
46	и действительно	3	6
47	отнюдь не	3	6
48	совершенно не	5	6
49	он не	3	6
50	не значит	5	6
51	уже не	8	6
52	хотя бы	9	5
53	то же	6	5
54	но все	2	5
55	и содержание	3	5
56	именно в	3	5
57	не имеет	3	5
58	должно быть	7	5
59	но как	3	5
60	его в	2	5
61	смысловое содержание	2	5
62	но в	2	5
63	не знает	2	5
64	как и	5	5
65	не только	17	5
66	все же	5	5
67	мы имеем	2	5
68	там где	3	5
69	что в	13	4
70	для нас	4	4
71	при этом	6	4
72	не по	3	4
73	между тем	4	4
74	могло бы	3	4
75	в одном	2	4
76	не как	2	4
77	быть в	2	4
78	том что	11	4
79	только как	4	4
80	а в	5	4
81	тем самым	4	4
82	в каком	3	4
83	в чем	5	4
84	а лишь	3	3
85	бы и	3	3
86	независимо от	5	3
87	должна быть	3	3
88	что это	3	3
89	не менее	12	3
90	я имею	2	3
91	не дает	2	3
92	и пр	3	3
93	в виду	8	3
94	был бы	3	3
95	и тем	6	3
96	в корне	2	3
97	от того	5	3
98	того что	11	3
99	в ней	3	3
100	в то	3	3
101	того или	3	3
102	о том	6	3
103	мы не	3	3
104	тогда когда	4	3
105	ясно что	4	3
106	или иного	3	3
107	по своему	2	3
108	еще не	9	3
109	для которого	2	3
110	бы не	3	3
111	на самом	3	3
112	самом деле	14	3
113	для того	12	3
114	что не	4	3
115	тем что	5	3
116	могут быть	6	3
117	здесь не	2	3
118	ничего не	6	3
119	слова в	4	2
120	или иное	2	2
121	а с	3	2
122	это уже	3	2
123	прежде всего	9	2
124	вопрос о	11	2
125	или иной	7	2
126	тем не	9	2
127	и как	2	2
128	но для	3	2
129	не о	2	2
130	что значит	4	2
131	по себе	6	2
132	тому что	4	2
133	для этого	6	2
134	что есть	2	2
135	как к	2	2
136	он имеет	2	2
137	быть не	2	2
138	именно на	2	2
139	потому что	12	2
140	однако что	4	2
141	может иметь	3	2
142	той или	5	2
143	говорить о	6	2
144	подхода к	2	2
145	я и	3	2
146	были бы	4	2
147	с тем	6	2
148	раз и	2	2
149	что он	6	2
150	и того	2	2
151	в качестве	2	2
152	тот же	6	2
153	и тот	2	2
154	или иным	2	2
155	этого слова	4	2
156	дело не	2	2
157	лишь с	4	2
158	и именно	3	2
159	в процессе	3	2
160	так и	6	2
161	как в	4	2
162	еще более	2	2
163	это и	3	2
164	чтобы не	2	2
165	того чтобы	11	2
166	то или	2	2
167	в данном	7	2
168	ответственность за	4	2
169	один и	2	2
170	не потому	3	2
171	в области	14	2
