N	2gram	Losev_Prob_2	Analitik
1	не только	24	22
2	и в	35	18
3	как и	5	14
4	так и	7	14
5	в этом	17	14
6	но и	16	13
7	в частности	5	12
8	том что	19	12
9	в качестве	2	12
10	и не	37	12
11	при этом	3	11
12	а в	4	10
13	как бы	4	10
14	то есть	39	10
15	может быть	18	9
16	что в	11	9
17	а не	10	9
18	в том	12	9
19	и даже	11	8
20	с другой	6	7
21	но не	4	7
22	в его	7	7
23	как раз	8	7
24	к тому	3	6
25	не в	2	6
26	еще не	10	6
27	в этой	9	6
28	он не	2	6
29	и самого	4	6
30	в их	3	6
31	о том	18	6
32	не является	7	5
33	в случае	3	5
34	в конце	7	5
35	прежде всего	11	5
36	или иной	5	5
37	как нам	2	5
38	такого рода	15	5
39	в самом	5	5
40	что и	2	5
41	другой стороны	5	5
42	а а	6	5
43	лишь в	3	5
44	уже не	8	5
45	той же	2	5
46	в слове	3	5
47	в результате	4	5
48	представляет собой	2	5
49	не менее	13	4
50	перед нами	2	4
51	о чем	6	4
52	отнюдь не	5	4
53	в своем	4	4
54	по крайней	6	4
55	по себе	8	4
56	что он	4	4
57	можно сказать	6	4
58	и к	3	4
59	и как	4	4
60	и сам	2	4
61	и а	2	4
62	не есть	33	4
63	крайней мере	6	4
64	все же	8	4
65	внимание на	3	4
66	таким образом	4	4
67	тем самым	7	4
68	и на	5	4
69	в данном	10	4
70	далеко не	4	4
71	уже в	3	3
72	были бы	2	3
73	и без	5	3
74	из этих	3	3
75	и того	3	3
76	что они	3	3
77	было бы	8	3
78	указывает на	5	3
79	только не	3	3
80	по поводу	2	3
81	мысль о	2	3
82	той или	5	3
83	не будет	11	3
84	в целом	3	3
85	данном случае	5	3
86	все это	4	3
87	то же	5	3
88	не было	3	3
89	еще и	5	3
90	что не	5	3
91	роль в	2	3
92	мы не	7	3
93	ничего не	10	3
94	пока еще	9	3
95	с этим	5	3
96	точки зрения	2	3
97	подобно тому	2	3
98	но как	6	3
99	говорить о	10	3
100	в то	6	3
101	его в	3	3
102	здесь не	2	3
103	едва ли	9	3
104	сама по	4	2
105	бы и	7	2
106	для всех	2	2
107	все эти	7	2
108	в них	2	2
109	и от	3	2
110	с нею	2	2
111	есть не	6	2
112	и ее	2	2
113	в тех	2	2
114	несмотря на	3	2
115	о которых	3	2
116	тем не	12	2
117	да и	10	2
118	тот или	5	2
119	с самим	3	2
120	одна из	3	2
121	с тем	3	2
122	по своему	5	2
123	или точнее	3	2
124	тех пор	4	2
125	одной стороны	5	2
126	это и	3	2
127	о своем	2	2
128	в общем	4	2
129	совершенно не	2	2
130	о в	3	2
131	могли бы	3	2
132	по преимуществу	2	2
133	и той	4	2
134	хотя и	3	2
135	в ней	2	2
136	об этом	2	2
137	от его	2	2
138	а также	2	2
139	всяком случае	10	2
140	даже в	2	2
141	гораздо более	4	2
142	один из	3	2
143	чистом виде	3	2
144	нам кажется	2	2
145	то что	38	2
146	во всех	2	2
147	вместе с	2	2
148	что она	4	2
149	не может	13	2
150	входит в	2	2
151	с одной	5	2
152	одной и	2	2
153	сводится к	2	2
154	в той	2	2
155	самом деле	4	2
156	в значительной	3	2
157	и по	3	2
158	и для	6	2
159	и прежде	2	2
160	тому как	3	2
161	сказать что	24	2
162	во всяком	13	2
163	мы можем	6	2
164	тем что	4	2
165	мере в	2	2
166	в себе	5	2
167	и здесь	4	2
168	что мы	14	2
169	только в	14	2
170	на эту	2	2
171	указание на	3	2
172	и все	5	2
173	когда мы	6	2
174	о и	2	2
175	но в	6	2
