N	2gram	Propp_Isto_5	FransuaR
1	и в	25	29
2	таким образом	9	20
3	и не	11	16
4	и все	3	13
5	в этой	3	13
6	как и	7	12
7	и на	8	11
8	в этом	10	11
9	то же	4	10
10	во время	7	10
11	как мы	5	10
12	мы уже	4	10
13	в то	3	10
14	не только	13	10
15	вовсе не	2	9
16	но и	13	9
17	все эти	8	9
18	и с	3	9
19	его в	9	9
20	прежде всего	6	8
21	в его	12	8
22	и его	9	8
23	как бы	2	8
24	мы видели	7	7
25	так же	5	7
26	в том	6	7
27	так как	11	7
28	из них	2	6
29	но он	2	6
30	что это	5	5
31	у него	2	5
32	это не	6	5
33	того же	2	5
34	в нем	7	5
35	в своей	2	5
36	и по	2	5
37	сказать что	2	5
38	перед нами	2	4
39	в образе	5	4
40	что он	22	4
41	но это	7	4
42	связанные с	2	4
43	еще не	8	4
44	и др	3	4
45	один из	2	4
46	то что	7	4
47	жизни и	2	4
48	все это	4	4
49	с другой	9	4
50	связан с	2	4
51	тем что	10	4
52	точки зрения	2	4
53	в которой	4	4
54	в частности	7	3
55	в качестве	7	3
56	превращается в	7	3
57	и здесь	7	3
58	что у	4	3
59	в ее	4	3
60	а затем	7	3
61	все же	10	3
62	том что	8	3
63	и как	3	3
64	в дальнейшем	4	3
65	мы видим	8	3
66	то в	2	3
67	такой же	2	3
68	что здесь	3	3
69	мы можем	2	3
70	и сам	2	3
71	животных и	2	3
72	того что	2	3
73	он не	4	3
74	к нему	3	3
75	другой стороны	8	3
76	и других	2	3
77	и они	2	3
78	образом в	2	3
79	того чтобы	3	3
80	для того	3	3
81	особенно в	2	3
82	роль в	2	3
83	в ней	5	3
84	там где	6	3
85	уже в	2	2
86	связи с	8	2
87	уже и	2	2
88	в другой	3	2
89	к этому	2	2
90	в этих	6	2
91	формы и	2	2
92	со своими	2	2
93	но мы	3	2
94	его к	3	2
95	в различных	2	2
96	а как	2	2
97	мы увидим	5	2
98	на этом	3	2
99	но не	5	2
100	в себя	3	2
101	одной стороны	7	2
102	не может	6	2
103	о чем	2	2
104	и мы	2	2
105	может быть	17	2
106	но оно	3	2
107	никогда не	3	2
108	уже не	11	2
109	если в	3	2
110	со стороны	2	2
111	на них	2	2
112	и для	2	2
113	на этой	4	2
114	себя в	6	2
115	после этого	2	2
116	но эти	3	2
117	его и	2	2
118	как в	6	2
119	в особенности	3	2
120	в других	2	2
121	с одной	7	2
122	они не	3	2
123	мы здесь	4	2
124	друг друга	3	2
125	представлений о	7	2
126	или в	6	2
127	их в	3	2
128	и при	2	2
129	это же	3	2
130	только в	7	2
131	о том	7	2
132	и это	4	2
133	и этим	2	2
134	с ним	4	2
