N	2gram	Tiupa_Vved_1	Hudozhes
1	и в	13	28
2	в рассказе	6	21
3	том что	7	19
4	и не	12	18
5	своего рода	10	16
6	в том	10	15
7	а не	15	14
8	не в	6	13
9	в этом	21	13
10	о том	5	12
11	перед нами	6	11
12	как и	11	11
13	при этом	26	11
14	в его	4	11
15	не только	20	11
16	у нее	2	10
17	уже не	5	10
18	чеховского рассказа	3	9
19	но и	19	9
20	в себе	5	9
21	о чем	2	8
22	в жизни	4	8
23	может быть	18	8
24	так и	8	8
25	жизни в	4	7
26	и все	4	7
27	к тому	6	7
28	об этом	4	7
29	в мире	8	7
30	в частности	13	7
31	отношению к	7	7
32	по отношению	7	7
33	тогда как	10	7
34	с ним	3	7
35	состоит в	10	7
36	это не	6	6
37	можно сказать	4	6
38	в котором	8	6
39	то что	6	6
40	жизни и	7	6
41	в своей	5	6
42	в чеховском	2	6
43	человеческой жизни	3	6
44	если бы	7	6
45	то же	5	6
46	не было	2	6
47	сводится к	4	6
48	а в	6	6
49	и с	2	6
50	тем что	2	6
51	в то	4	6
52	не менее	4	5
53	в своем	5	5
54	как бы	4	5
55	как в	4	5
56	что в	3	5
57	в самом	2	5
58	наряду с	2	5
59	никогда не	4	5
60	в тексте	10	5
61	и его	5	5
62	для него	3	5
63	бы и	4	4
64	тем не	3	4
65	но не	5	4
66	в качестве	8	4
67	же время	3	4
68	вслед за	2	4
69	он не	3	4
70	что и	2	4
71	как раз	2	4
72	то и	2	4
73	не может	7	4
74	подобно тому	2	4
75	как будто	4	4
76	только в	6	4
77	тому как	2	4
78	бы не	2	3
79	в них	2	3
80	о них	3	3
81	с другой	5	3
82	но при	5	3
83	прежде всего	7	3
84	в нем	5	3
85	что на	2	3
86	для нас	2	3
87	в соответствии	6	3
88	самом деле	3	3
89	все что	3	3
90	как о	2	3
91	когда в	2	3
92	еще не	7	3
93	одной стороны	5	3
94	было бы	4	3
95	по поводу	2	3
96	в ней	4	3
97	не все	2	3
98	этом и	2	3
99	в этих	3	3
100	все они	2	3
101	на него	2	3
102	со стороны	5	3
103	на фоне	2	3
104	а с	2	3
105	с одной	5	3
106	едва ли	3	3
107	внимание на	3	3
108	можно было	2	3
109	и на	3	3
110	соответствии с	6	3
111	пока еще	4	3
112	будто бы	3	3
113	как он	2	3
114	героя и	3	3
115	всего лишь	5	3
116	в основе	3	2
117	место в	2	2
118	и составляет	3	2
119	отнюдь не	7	2
120	однако в	4	2
121	не столько	4	2
122	не как	2	2
123	и от	2	2
124	из этих	3	2
125	в финале	2	2
126	или иной	3	2
127	не с	3	2
128	как мы	3	2
129	тому же	4	2
130	жизни так	2	2
131	одна из	4	2
132	и к	2	2
133	жизни то	2	2
134	в ряду	2	2
135	а также	8	2
136	обратимся к	2	2
137	если в	2	2
138	не является	3	2
139	один из	3	2
140	в нашем	6	2
141	все же	6	2
142	в первом	2	2
143	отношение к	2	2
144	являет собой	2	2
145	данном случае	6	2
146	что же	3	2
147	приводит к	2	2
148	дело с	2	2
149	здесь не	2	2
150	те же	2	2
151	о которой	2	2
152	лишь в	2	2
153	во втором	2	2
154	тем самым	5	2
155	который в	2	2
156	и для	3	2
157	и опять	2	2
158	в данном	13	2
159	потому что	5	2
160	однако и	2	2
161	[...] в	2	2
162	говорить о	2	2
163	могла бы	3	2
164	и т.д	5	2
165	с детьми	3	2
166	но в	6	2
167	тоже не	2	2
168	том как	3	2
