N	2gram	Bakhtin_Fr_5	Mirosoze
1	может быть	2	30
2	не только	14	29
3	и в	45	28
4	не может	5	28
5	но и	10	25
6	а не	4	25
7	он не	6	24
8	в этом	14	20
9	не было	3	18
10	у него	4	17
11	не в	7	16
12	потому что	7	16
13	переходит в	2	15
14	в ней	8	15
15	в своей	3	15
16	и есть	2	14
17	он был	7	14
18	в нем	10	13
19	и он	3	12
20	и это	4	12
21	для него	3	11
22	в самом	4	11
23	и не	15	11
24	что в	12	10
25	в своем	11	10
26	свободы и	2	10
27	прежде всего	10	10
28	и все	7	10
29	что он	6	10
30	было бы	2	10
31	но он	3	9
32	с тем	2	9
33	в его	13	9
34	и его	13	9
35	но не	4	8
36	в самой	8	7
37	того что	3	7
38	в конце	7	7
39	но в	14	7
40	менее всего	3	7
41	к нему	2	7
42	в том	10	6
43	в этой	6	6
44	все это	7	6
45	лишь в	2	6
46	и на	5	6
47	свобода и	3	6
48	вместе с	3	6
49	только в	4	6
50	не могут	2	5
51	это не	3	5
52	мира и	8	5
53	как и	10	5
54	то что	2	5
55	нет и	2	5
56	в их	4	4
57	а в	4	4
58	свободу и	5	4
59	в которых	3	4
60	точки зрения	4	4
61	и там	2	4
62	в них	6	4
63	один из	2	4
64	это и	5	4
65	к ней	2	4
66	что и	7	4
67	себя и	2	3
68	и вот	3	3
69	к тому	2	3
70	не мог	4	3
71	и их	5	3
72	в свете	2	3
73	не имеет	3	3
74	его не	4	3
75	с этим	4	3
76	его в	5	3
77	так как	6	3
78	это очень	2	3
79	то есть	25	3
80	и с	10	3
81	на этом	5	3
82	с его	7	3
83	для них	2	3
84	одно из	2	3
85	он должен	2	3
86	том что	7	3
87	есть и	5	3
88	ничего не	4	3
89	этот путь	2	3
90	конечно не	2	3
91	на свободу	3	3
92	на том	2	3
93	когда он	2	3
94	духа в	2	3
95	хотя бы	2	3
96	он знает	2	2
97	по своему	4	2
98	от мира	2	2
99	мы еще	2	2
100	вообще не	3	2
101	и от	4	2
102	его как	4	2
103	необходимости и	3	2
104	него не	2	2
105	о чем	3	2
106	для того	6	2
107	одним из	5	2
108	мира сего	2	2
109	на этот	3	2
110	жизни и	8	2
111	нем не	3	2
112	все эти	5	2
113	и что	2	2
114	также и	7	2
115	сказать что	4	2
116	он и	3	2
117	в начале	2	2
118	в истории	2	2
119	как бы	12	2
120	о том	4	2
121	как он	3	2
122	человека с	5	2
123	бы в	4	2
124	с ним	5	2
125	в основе	4	2
126	с которой	2	2
127	жизни в	2	2
128	и во	4	2
129	к этому	2	2
130	мы видим	5	2
131	в то	11	2
132	то время	3	2
133	ведь это	2	2
134	до сих	3	2
135	века в	3	2
136	и к	5	2
137	относится к	2	2
138	еще в	2	2
139	в этот	2	2
140	должен быть	2	2
141	все же	2	2
142	не хочет	2	2
143	сих пор	3	2
144	в необходимости	3	2
145	как в	3	2
146	мысли и	6	2
147	чтобы не	2	2
148	и она	2	2
149	того чтобы	6	2
150	и у	5	2
151	и как	5	2
152	и для	3	2
153	от этого	2	2
154	он в	2	2
155	от его	3	2
