N	2gram	Nazirov_Vr_1	Hudozhes
1	и в	8	28
2	том что	3	19
3	и не	5	18
4	в том	3	15
5	в этом	8	13
6	о том	4	12
7	как и	6	11
8	при этом	4	11
9	в его	3	11
10	не только	9	11
11	уже не	2	10
12	но и	7	9
13	в себе	2	9
14	о чем	2	8
15	что он	4	8
16	может быть	4	8
17	между тем	5	8
18	я не	3	7
19	и все	7	7
20	об этом	5	7
21	в мире	2	7
22	тогда как	2	7
23	с ним	4	7
24	это не	4	6
25	в котором	6	6
26	то что	7	6
27	в своей	2	6
28	то же	5	6
29	не было	5	6
30	а в	2	6
31	в глазах	2	6
32	и с	6	6
33	тем что	3	6
34	в то	5	6
35	с его	3	5
36	не менее	2	5
37	у него	5	5
38	в своем	3	5
39	как бы	4	5
40	в этой	2	5
41	что в	7	5
42	наряду с	3	5
43	никогда не	2	5
44	и его	3	5
45	рядом с	2	5
46	для него	2	5
47	же время	5	4
48	и о	3	4
49	он не	3	4
50	и уже	3	4
51	как раз	2	4
52	не может	2	4
53	человека в	3	4
54	в них	2	3
55	столь же	2	3
56	о себе	3	3
57	к себе	2	3
58	с нею	2	3
59	в нем	6	3
60	и ее	2	3
61	для нас	4	3
62	еще не	2	3
63	в это	2	3
64	несмотря на	4	3
65	раз в	3	3
66	в ней	4	3
67	все это	4	3
68	а с	2	3
69	и он	2	3
70	так же	4	3
71	что у	3	3
72	и это	2	3
73	место в	2	2
74	он сам	2	2
75	т е	3	2
76	отнюдь не	2	2
77	его и	2	2
78	давно уже	3	2
79	мы знаем	2	2
80	что я	2	2
81	же как	2	2
82	одна из	2	2
83	и а	2	2
84	о нем	6	2
85	а также	2	2
86	все же	6	2
87	отношение к	2	2
88	как же	2	2
89	из них	2	2
90	вместе с	2	2
91	который был	3	2
92	о которой	2	2
93	и у	3	2
94	с точки	2	2
95	и то	2	2
96	точки зрения	2	2
97	его в	3	2
98	ответ на	2	2
99	но в	6	2
100	же не	2	2
