N	2gram	Medvedev_V_1	Dialekti
1	т е	18	48
2	и не	19	27
3	а не	7	26
4	точки зрения	3	25
5	и в	26	24
6	и т	23	24
7	значит что	2	24
8	не только	25	23
9	т д	14	23
10	что такое	2	21
11	по себе	2	20
12	не может	17	19
13	и есть	5	16
14	что все	3	14
15	то что	6	14
16	может быть	22	13
17	таким образом	31	13
18	и даже	2	13
19	что он	4	13
20	вовсе не	3	13
21	того что	3	12
22	не менее	2	11
23	отнюдь не	3	10
24	только не	2	10
25	то это	2	9
26	но и	10	9
27	что она	2	9
28	прежде всего	13	8
29	и как	3	8
30	отличается от	2	8
31	что мы	2	8
32	том что	8	8
33	в этом	26	8
34	что в	10	7
35	никогда не	4	7
36	в самом	4	7
37	в особенности	2	7
38	что оно	3	7
39	даже и	3	7
40	в виду	4	7
41	это и	6	7
42	как и	7	7
43	как раз	3	7
44	все это	10	6
45	о том	10	6
46	если бы	3	6
47	утверждать что	4	6
48	об этом	9	6
49	что и	3	6
50	даже не	2	6
51	то же	10	6
52	можно ли	2	5
53	в том	15	5
54	что его	2	5
55	хотя и	2	5
56	жизни и	3	5
57	и его	6	5
58	как на	3	5
59	что для	3	5
60	в то	6	5
61	как это	12	5
62	в них	4	5
63	по крайней	2	5
64	тогда когда	2	5
65	и к	3	5
66	было бы	7	5
67	он не	2	5
68	крайней мере	2	5
69	так и	5	5
70	что не	3	5
71	только в	7	5
72	тому что	6	4
73	с другой	11	4
74	это не	7	4
75	не могут	7	4
76	или иной	2	4
77	к тому	4	4
78	как о	2	4
79	хотя бы	19	4
80	так же	3	4
81	сказать что	5	4
82	нет и	3	4
83	у нас	2	4
84	говорить о	2	4
85	говорит о	7	4
86	от того	2	4
87	только что	4	4
88	при всем	3	4
89	в чем	2	4
90	тому как	2	4
91	подобно тому	2	4
92	е в	2	4
93	для него	8	4
94	что нет	2	4
95	перед нами	4	3
96	не было	7	3
97	вот это	2	3
98	все же	5	3
99	но даже	3	3
100	в своем	8	3
101	и от	3	3
102	мы знаем	3	3
103	не в	6	3
104	она не	3	3
105	же время	5	3
106	одной стороны	2	3
107	в нем	6	3
108	из них	9	3
109	с одной	2	3
110	все эти	6	3
111	того или	2	3
112	должно быть	2	3
113	с этим	3	3
114	он и	2	3
115	и сводится	4	3
116	при помощи	3	3
117	и значит	2	3
118	мира и	3	3
119	в силу	11	3
120	только о	2	3
121	зависимости от	5	3
122	одна из	4	3
123	утверждает что	3	3
124	понимать как	2	3
125	я бы	2	3
126	как бы	5	3
127	для того	3	3
128	из которых	2	3
129	должны быть	2	3
130	в слове	3	3
131	и ее	4	3
132	зависит от	2	2
133	же как	2	2
134	в частности	11	2
135	что у	2	2
136	из этих	7	2
137	этой точки	2	2
138	еще не	2	2
139	по одному	2	2
140	например в	3	2
141	но для	2	2
142	не о	2	2
143	не вполне	2	2
144	уже по	2	2
145	другой стороны	8	2
146	как например	2	2
147	еще и	2	2
148	именно в	2	2
149	они не	2	2
150	и по	3	2
151	его не	3	2
152	а в	3	2
153	нет никаких	2	2
154	же и	2	2
155	в своих	2	2
156	также и	2	2
157	и формы	2	2
158	их в	6	2
159	в ней	2	2
160	от его	2	2
161	и потому	2	2
162	иметь в	2	2
163	бы в	3	2
164	говорить не	3	2
165	нет ни	2	2
166	но в	2	2
167	а для	2	2
168	с его	3	2
169	у него	6	2
170	как видим	8	2
171	в зависимости	6	2
172	в их	5	2
173	одному тому	2	2
174	же в	6	2
175	но как	3	2
176	по существу	3	2
177	но не	2	2
178	ни один	7	2
179	силу этого	4	2
180	ее в	4	2
181	на основании	8	2
182	но то	2	2
183	и у	2	2
184	и он	2	2
185	и для	2	2
186	можно утверждать	3	2
187	или в	3	2
188	из себя	2	2
189	могут быть	5	2
190	говорил что	2	2
191	в себе	6	2
192	в его	14	2
